# BOOM-HLS Memory/State Structure Equivalence, Gate 3.4 Update 2026-07-26

Structure,BOOM Depth,BOOM Width(bits),BOOM Ports,HLS Depth,HLS Width,HLS Ports,Vitis Mapping,Match,Notes
Int PRF,52,64,4R2W,52,64,1R1W seq,baseline total 16 BRAM_18K,MATCH,"Functional state size matches; BOOM multi-port RF structure is not modeled"
FP PRF,48,64,3R2W,48,64,1R1W seq,baseline total 16 BRAM_18K,MATCH,"Storage exists but FPU path absent"
ROB Entries,32,~400,1R1W,32,RobEntry struct,1R1W seq,baseline total 16 BRAM_18K,MATCH,"Functional depth matches; PNR/full exception timing absent"
Int IQ,8,~450,1R1W,8,IssueSlotEntry,1R1W seq,baseline total 16 BRAM_18K,MATCH,"Functional depth matches; only one implemented ALU execute lane"
Mem IQ,8,-,1R1W,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Stub
FPU IQ,8,-,1R1W,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Stub
LDQ,8,-,1R1W,8,LoadQueueEntry,1R1W seq,baseline total 16 BRAM_18K,PARTIAL,"Minimal load queue for integer load requests/responses; no DCache/TLB/replay/miss model"
STQ,8,-,1R1W,8,StoreQueueEntry,1R1W seq,baseline total 16 BRAM_18K,PARTIAL,"Minimal store queue and committed store request path; no store buffer/cache protocol/full forwarding"
Rename MapTable,32,6,1R1W,32,8(uint8_t),1R seq,baseline total 16 BRAM_18K,MATCH,"6b logical-to-physical mapping stored in uint8_t"
Committed MapTable,32,6,1R,32,8(uint8_t),1R seq,~1 BRAM,MATCH,Separate committed state
Free List,52,6,1R1W,52,8(uint8_t),1R seq,baseline total 16 BRAM_18K,MATCH,"Queue + head/tail; Gate 3.3 duplicate-safe rollback insertion"
Busy Table,52,1,1R1W,52,1(bool),1R seq,baseline total 16 BRAM_18K,MATCH,"Bitmap; Gate 3.3 recovery rebuild is functional substitute, not cycle proof"
Branch Snapshots,32x8,6 per snapshot,1R1W,32x8,8(uint8_t),1 seq RAM_AUTO_1R1W,baseline total 16 BRAM_18K,MATCH,"Gate 3.4 RTL inventory confirms 256x8 reg-array RAM; no complete partition"
Branch Alloc Lists,8x52,1 per phys reg,1R1W,8x52,1(bool),1 seq RAM_AUTO_1R1W,baseline total 16 BRAM_18K,MATCH,"Gate 3.4 RTL inventory confirms 416x1 reg-array RAM; no complete partition"
FTQ,16,-,1R1W,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Stub
Fetch Buffer,8,-,1R1W,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Stub
CSR mstatus,1,64,1R1W,1,64,1R seq,Register,MATCH,Default value 0x0a00000000
CSR misa,1,64,1R,1,64,1R seq,Register,MATCH,0x800000000014112d
CSR mie/mtvec/mepc/mcause,1 each,64,1R1W,1 each,64,1R seq,Register,MATCH,Stored in CsrState
CSR cycle,1,64,1R,1,"64","1W per cycle",Register,MATCH,Auto-incremented
CSR instret,1,64,1R1W,1,64,1W per commit,Register,MATCH,Incremented on commit
TAGE tables,6,~44-52,-,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
BTB,2 ways,-,-,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
BIM,2048,8,-,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
RAS,-,-,-,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
L2 Directory,1024,136,mrw,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
L2 Data Bank,16384,64,rw,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
ICache Tag,64,88,mrw,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
ICache Data,512,64,mwrite+read,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
DCache Tag,64,80,mrw,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
DCache Data,512,64,rw,NOT IMPL,-,-,-,NOT_IMPLEMENTED,Not implemented
