program,source,dynamic_uop_id,pc,instruction,commit_ordinal,rob_idx,rob_generation,allocate_cycle,commit_cycle,branch_resolve_cycle,branch_tag,branch_mask,squashed,exception,identity_status,notes
independent_alu,boom,independent_alu:commit:0,0x0000000080000000,0x00500093,0,31,1,1150,1157,,,,FALSE,FALSE,MATCH,
independent_alu,boom,independent_alu:commit:1,0x0000000080000004,0x00700113,1,0,2,1151,1158,,,,FALSE,FALSE,MATCH,
independent_alu,boom,independent_alu:commit:2,0x0000000080000008,0x002081b3,2,1,2,1152,1159,,,,FALSE,FALSE,MATCH,
independent_alu,boom,independent_alu:commit:3,0x000000008000000c,0x00c00393,3,2,2,1153,1160,,,,FALSE,FALSE,MATCH,
independent_alu,boom,independent_alu:commit:4,0x0000000080000010,0x00719c63,4,3,2,1154,1161,1158,0,0,FALSE,FALSE,MATCH,
independent_alu,boom,independent_alu:commit:5,0x0000000080000014,0x00000297,5,4,2,1155,1162,,,,FALSE,FALSE,MATCH,
independent_alu,boom,independent_alu:commit:6,0x0000000080000018,0x06c28293,6,5,2,1156,1168,,,,FALSE,FALSE,MATCH,
independent_alu,boom,independent_alu:commit:7,0x000000008000001c,0x00100313,7,6,2,1157,1169,,,,FALSE,FALSE,MATCH,
independent_alu,hls_csim,independent_alu:commit:0,0x0000000080000000,0x00500093,0,,,,2,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
independent_alu,hls_csim,independent_alu:commit:1,0x0000000080000004,0x00700113,1,,,,4,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
independent_alu,hls_csim,independent_alu:commit:2,0x0000000080000008,0x002081b3,2,,,,6,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
independent_alu,hls_csim,independent_alu:commit:3,0x000000008000000c,0x00c00393,3,,,,8,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
independent_alu,hls_csim,independent_alu:commit:4,0x0000000080000010,0x00719c63,4,,,,10,10,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
independent_alu,hls_csim,independent_alu:commit:5,0x0000000080000014,0x00000297,5,,,,12,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
independent_alu,hls_csim,independent_alu:commit:6,0x0000000080000018,0x06c28293,6,,,,14,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
independent_alu,hls_csim,independent_alu:commit:7,0x000000008000001c,0x00100313,7,,,,16,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
raw_chain,boom,raw_chain:commit:0,0x0000000080000000,0x00500093,0,31,1,1150,1157,,,,FALSE,FALSE,MATCH,
raw_chain,boom,raw_chain:commit:1,0x0000000080000004,0x00208113,1,0,2,1151,1158,,,,FALSE,FALSE,MATCH,
raw_chain,boom,raw_chain:commit:2,0x0000000080000008,0x00410193,2,1,2,1152,1159,,,,FALSE,FALSE,MATCH,
raw_chain,boom,raw_chain:commit:3,0x000000008000000c,0x00b00393,3,2,2,1153,1160,,,,FALSE,FALSE,MATCH,
raw_chain,boom,raw_chain:commit:4,0x0000000080000010,0x00719c63,4,3,2,1154,1161,1158,0,0,FALSE,FALSE,MATCH,
raw_chain,boom,raw_chain:commit:5,0x0000000080000014,0x00000297,5,4,2,1155,1162,,,,FALSE,FALSE,MATCH,
raw_chain,boom,raw_chain:commit:6,0x0000000080000018,0x06c28293,6,5,2,1156,1168,,,,FALSE,FALSE,MATCH,
raw_chain,boom,raw_chain:commit:7,0x000000008000001c,0x00100313,7,6,2,1157,1169,,,,FALSE,FALSE,MATCH,
raw_chain,hls_csim,raw_chain:commit:0,0x0000000080000000,0x00500093,0,,,,2,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
raw_chain,hls_csim,raw_chain:commit:1,0x0000000080000004,0x00208113,1,,,,4,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
raw_chain,hls_csim,raw_chain:commit:2,0x0000000080000008,0x00410193,2,,,,6,,,,FALSE,FALSE,MATCH,HLS trace has no ROB index/allocation signal
