rank,estimated_delay,source_function,source_file,source_line,start_state,end_state,operators,array_access,loop,loop_trip_count,pipeline_status,state_feedback,external_handshake,classification,candidate,risk
1,5.900,lsu_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,1084,ST_5,ST_5,load;lshr;and;xor;sub;select;select;store,state_rob_entries_memory_address;state_rob_entries_memory_data,load_value,,no,no,no,LOCAL_COMBINATIONAL,yes,medium
2,5.870,execute_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,601,ST_3,ST_3,load;select;mul;store,state_int_rf,EXECUTE_RESULTS,1,no,yes,no,TRUE_STATE_RECURRENCE,no,high
3,3.450,lsu_module,/home/lab_726/Xilinx/Vitis_HLS/2021.2/common/technology/autopilot/hls_stream_39.h,144,ST_1,ST_1,fifo_read;icmp;and,,,,no,no,yes,EXTERNAL_HANDSHAKE,no,high
4,3.360,rob_commit_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,1135,ST_18,ST_18,add;icmp;select;store,,FREE_LIST_SCAN,52,no,yes,no,TRUE_STATE_RECURRENCE,no,high
5,3.350,frontend_module,/home/lab_726/Xilinx/Vitis_HLS/2021.2/common/technology/autopilot/hls_stream_39.h,144,ST_1,ST_1,fifo_read;icmp;phi;phi,,,,no,no,yes,EXTERNAL_HANDSHAKE,no,high
6,3.080,try_issue_load,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,999,ST_9,ST_9,load;fifo_write,state_rob_entries_memory_address,LOAD_REQUEST,,no,no,yes,EXTERNAL_HANDSHAKE,no,high
7,3.080,rob_commit_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,1181,ST_13,ST_13,load;or;fifo_write,state_rob_entries_memory_address,STORE_COMMIT,,no,no,yes,EXTERNAL_HANDSHAKE,no,high
8,3.020,decode_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,207,ST_1,ST_1,load;icmp;select;phi;phi;phi;phi,,,,no,no,no,LOCAL_COMBINATIONAL,yes,medium
9,2.760,kill_rob_younger_than,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,677,ST_4,ST_4,load;and;icmp,state_rob_entries_uop_branch_br_mask,RECOVERY,8/32/52,no,no,no,SAME_CYCLE_RECOVERY,no,high
10,2.490,rename_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,358,ST_6,ST_6,load;icmp;and,state_rename_int_free_list_free_list,FREE_LIST_SELECT,52,no,yes,no,TRUE_STATE_RECURRENCE,no,high
11,2.420,rob_allocate,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,491,ST_1,ST_1,load;add;icmp,,ROB_ALLOCATE,1,no,yes,no,TRUE_STATE_RECURRENCE,no,high
12,2.370,rob_commit_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,1164,ST_21,ST_21,load;icmp,state_int_rf,ROB_COMMIT,3,no,yes,no,TRUE_STATE_RECURRENCE,no,high
13,2.240,rob_commit_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,1211,ST_16,ST_16,load;icmp;and,state_rob_entries_uop_rename_stale_pdst,ROB_COMMIT,3,no,yes,no,TRUE_STATE_RECURRENCE,no,high
14,2.210,execute_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,596,ST_2,ST_2,load;mux;getelementptr;load,state_int_rf,EXECUTE_RESULTS,1,no,yes,no,TRUE_STATE_RECURRENCE,no,high
15,2.200,kill_rob_younger_than,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,824,ST_3,ST_3,getelementptr;store,state_rob_entries_uop_inst,,,no,no,no,INSUFFICIENT_EVIDENCE,no,medium
16,2.200,issue_module,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,511,ST_5,ST_5,load;and;store,state_issue_alu_iq_entries_uop_branch_br_mask;state_issue_alu_iq_entries_uop_branch_br_mask,CLEAR_RESOLVED_MASKS,8,no,no,no,SAME_CYCLE_RECOVERY,no,high
17,2.200,kill_issue_state,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,677,ST_4,ST_4,load;and;icmp,state_issue_alu_iq_entries_uop_branch_br_mask,RECOVERY,8/32/52,no,no,no,SAME_CYCLE_RECOVERY,no,high
18,2.200,kill_lsu_state,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,797,ST_10,ST_10,load;and;icmp,state_lsu_stq_branch_mask,RECOVERY,8/32/52,no,no,no,SAME_CYCLE_RECOVERY,no,high
19,2.120,boom_core_cycle_io,/home/lab_726/Xilinx/Vitis_HLS/2021.2/common/technology/autopilot/hls_stream_39.h,144,ST_1,ST_1,fifo_write,,CORE_CYCLE,infinite,no,no,yes,EXTERNAL_HANDSHAKE,no,high
20,2.100,recover_mispredict,/home/lab_726/boom/hls_boom/src/boom_core_merged.cpp,876,ST_18,ST_18,load;mul,,RECOVERY,8/32/52,no,no,no,SAME_CYCLE_RECOVERY,no,high
