array,source_file,source_line,partition_type,dimension,element_count,reason,expected_storage,risk
state_rename_int_map_table_br_snapshots.0,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.1,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.2,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.3,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.4,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.5,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.6,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.7,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.8,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.9,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.10,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.11,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.12,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.13,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.14,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.15,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.16,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.17,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.18,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.19,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.20,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.21,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.22,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
state_rename_int_map_table_br_snapshots.23,,,automatic,all/unknown,32x8,static BoomCoreState branch snapshot RAM was automatically partitioned under top scheduling,persistent RAM retained for future BOOM branch equivalence,HIGH
