module,status,runtime_seconds,peak_memory_kb,estimated_period_ns,lut,ff,bram_18k,dsp,latency,interval,automatic_partition_count,warning_count,report_path
synth_branch_tag_top,PASS,12.04,1518576,1.950,341,87,0,0,5..66,6..67,77,9,boom_hls_gate3_4_synth_branch_tag_top/solution_module/syn/report/synth_branch_tag_top_csynth.rpt
synth_branch_mask_top,PASS,24.30,1520616,2.203,11494,6246,0,0,?..?,?..?,90,21,boom_hls_gate3_4_synth_branch_mask_top/solution_module/syn/report/synth_branch_mask_top_csynth.rpt
synth_map_snapshot_top,PASS,24.39,1521664,2.629,11868,6444,1,0,?..?,?..?,90,21,boom_hls_gate3_4_synth_map_snapshot_top/solution_module/syn/report/synth_map_snapshot_top_csynth.rpt
synth_free_list_rollback_top,PASS,24.12,1521088,2.203,11895,6295,1,0,?..?,?..?,90,21,boom_hls_gate3_4_synth_free_list_rollback_top/solution_module/syn/report/synth_free_list_rollback_top_csynth.rpt
synth_busy_recovery_top,PASS,24.25,1520780,2.203,12291,6409,1,0,?..?,?..?,90,21,boom_hls_gate3_4_synth_busy_recovery_top/solution_module/syn/report/synth_busy_recovery_top_csynth.rpt
synth_branch_kill_top,PASS,24.00,1521252,2.203,12091,6321,1,0,?..?,?..?,90,24,boom_hls_gate3_4_synth_branch_kill_top/solution_module/syn/report/synth_branch_kill_top_csynth.rpt
synth_rename_top,PASS,9.20,1521092,1.950,268,229,0,0,4..56,5..57,10,8,boom_hls_gate3_4_synth_rename_top/solution_module/syn/report/synth_rename_top_csynth.rpt
synth_rob_top,PASS,9.19,1521224,1.829,71,13,0,0,1..1,2..2,4,8,boom_hls_gate3_4_synth_rob_top/solution_module/syn/report/synth_rob_top_csynth.rpt
synth_issue_top,PASS,13.64,1521116,2.203,11147,4147,0,0,?..?,?..?,6,8,boom_hls_gate3_4_synth_issue_top/solution_module/syn/report/synth_issue_top_csynth.rpt
synth_lsu_top,PASS,19.38,1520688,3.474,712,415,2,0,11..264,12..265,7,14,boom_hls_gate3_4_synth_lsu_top/solution_module/syn/report/synth_lsu_top_csynth.rpt
synth_core_step_top,PASS,58.67,1521608,5.898,45350,12111,12,3,?..?,?..?,342,163,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/report/synth_core_step_top_csynth.rpt
boom_core_top,PASS,69.33,1521180,5.898,83286,16611,16,3,?..?,?..?,0,60,boom_hls_gate3_4_boom_core_top/solution_module/syn/report/boom_core_top_csynth.rpt
