top,event,count,evidence_type
synth_core_step_top,automatic_partition,342,XFORM_LOG
synth_core_step_top,automatic_inlining,106,XFORM_LOG
synth_core_step_top,function_clone,0,XFORM_LOG
synth_core_step_top,memory_promotion,0,XFORM_LOG
boom_core_step_top,automatic_partition,0,XFORM_LOG
boom_core_step_top,automatic_inlining,110,XFORM_LOG
boom_core_step_top,function_clone,0,XFORM_LOG
boom_core_step_top,memory_promotion,0,XFORM_LOG
boom_core_top,automatic_partition,0,XFORM_LOG
boom_core_top,automatic_inlining,110,XFORM_LOG
boom_core_top,function_clone,0,XFORM_LOG
boom_core_top,memory_promotion,0,XFORM_LOG
