top,ram,data_width,address_width,address_range,path,evidence_type
synth_core_step_top,compact_issue_queue_temp_uop_csr_addr_RAM_AUTO_1R1W,16,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_compact_issue_queue_temp_uop_csr_addr_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,compact_issue_queue_temp_uop_debug_pc_RAM_AUTO_1R1W,64,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_compact_issue_queue_temp_uop_debug_pc_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,compact_issue_queue_temp_uop_inst_RAM_AUTO_1R1W,32,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_compact_issue_queue_temp_uop_inst_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,compact_issue_queue_temp_uop_uopc_RAM_AUTO_1R1W,8,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_compact_issue_queue_temp_uop_uopc_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,compact_issue_queue_temp_valid_RAM_AUTO_1R1W,1,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_compact_issue_queue_temp_valid_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,kill_lsu_state_state_lsu_ldq_response_pending_RAM_AUTO_1R1W,1,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_kill_lsu_state_state_lsu_ldq_response_pending_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,kill_lsu_state_state_lsu_ldq_result_RAM_AUTO_1R1W,64,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_kill_lsu_state_state_lsu_ldq_result_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,kill_lsu_state_state_lsu_ldq_transaction_id_RAM_AUTO_1R1W,32,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_kill_lsu_state_state_lsu_ldq_transaction_id_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,state_branch_state_br_alloc_lists_RAM_AUTO_1R1W,1,9,416,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_state_branch_state_br_alloc_lists_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,state_int_rf_RAM_AUTO_1R1W,64,6,52,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_state_int_rf_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,state_issue_alu_iq_entries_uop_branch_br_mask_RAM_AUTO_1R1W,8,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_state_issue_alu_iq_entries_uop_branch_br_mask_RAM_AUTO_1R1W.v,RTL_INSTANCE
synth_core_step_top,state_issue_alu_iq_entries_uop_csr_addr_RAM_AUTO_1R1W,16,3,8,boom_hls_gate3_4_synth_core_step_top/solution_module/syn/verilog/synth_core_step_top_state_issue_alu_iq_entries_uop_csr_addr_RAM_AUTO_1R1W.v,RTL_INSTANCE
