instance,step_top_count,core_top_count,delta,evidence_type,confidence,notes
boom_core_top,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_boom_core_cycle_io,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_branch_module,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_clear_resolved_masks_in_state,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_compact_iq,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_compact_issue_queue,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_compact_issue_queue_temp_uop_csr_addr_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_compact_issue_queue_temp_uop_debug_pc_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_compact_issue_queue_temp_uop_inst_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_compact_issue_queue_temp_uop_uopc_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_compact_issue_queue_temp_valid_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_decode_module,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_execute_module,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_fifo_w193_d2_S_shiftReg,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_fifo_w283_d2_S_shiftReg,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_fifo_w289_d2_S_shiftReg,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_fifo_w518_d2_S_shiftReg,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_fifo_w97_d2_S_shiftReg,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_frontend_module,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_issue_module,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_kill_execute_state,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_kill_issue_state,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_kill_lsu_state,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_kill_rob_younger_than,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_lsu_module,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_mul_32s_32s_64_1_1,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_mul_3ns_7ns_9_1_1,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_mul_8ns_7ns_9_1_1,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_recover_mispredict,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_regslice_both,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_rename_module,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_rob_allocate,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_rob_commit_module,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
boom_core_top_try_issue_load,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
branch_module,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
clear_resolved_masks_in_state,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
compact_iq,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
compact_issue_queue,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
compact_issue_queue_temp_uop_csr_addr_RAM_AUTO_1R1W,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
compact_issue_queue_temp_uop_debug_pc_RAM_AUTO_1R1W,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
compact_issue_queue_temp_uop_inst_RAM_AUTO_1R1W,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
compact_issue_queue_temp_uop_uopc_RAM_AUTO_1R1W,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
compact_issue_queue_temp_valid_RAM_AUTO_1R1W,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
decode_module,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
execute_module,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
fifo_w193_d2_S_shiftReg,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
fifo_w283_d2_S_shiftReg,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
fifo_w289_d2_S_shiftReg,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
fifo_w518_d2_S_shiftReg,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
fifo_w97_d2_S_shiftReg,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
frontend_module,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
issue_module,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
kill_issue_state,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
kill_lsu_state,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
kill_lsu_state_state_lsu_ldq_response_pending_RAM_AUTO_1R1W,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
kill_lsu_state_state_lsu_ldq_result_RAM_AUTO_1R1W,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
kill_lsu_state_state_lsu_ldq_transaction_id_RAM_AUTO_1R1W,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
kill_rob_younger_than,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
lsu_module,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
mul_32s_32s_64_1_1,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
mul_3ns_7ns_9_1_1,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
mul_8ns_7ns_9_1_1,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
mux_32_1_1_1,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
mux_32_32_1_1,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
mux_32_64_1_1,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
mux_32_8_1_1,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
recover_mispredict,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
rename_module,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
rob_allocate,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
rob_commit_module,1,0,-1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_branch_state_br_alloc_lists_RAM_AUTO_1R1W,1,1,0,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_decode_dec_uops_branch_pc_lob_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_decode_dec_uops_csr_addr_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_decode_dec_uops_ctrl_br_type_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_decode_dec_uops_ctrl_op1_sel_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_decode_dec_uops_fu_code_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_decode_dec_uops_rename_pdst_RAM_AUTO_0R0W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_execute_alu_results_exc_cause_RAM_AUTO_0R0W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_execute_alu_results_memory_mask_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_execute_alu_results_uop_branch_br_mask_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_execute_alu_results_uop_csr_addr_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_execute_alu_results_uop_debug_pc_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_execute_alu_results_uop_inst_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_execute_alu_results_valid_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_int_rf_RAM_AUTO_1R1W,1,1,0,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_alu_iq_entries_uop_branch_br_mask_RAM_AUTO_1R1W,1,1,0,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_alu_iq_entries_uop_csr_addr_RAM_AUTO_1R1W,1,1,0,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_alu_iq_entries_uop_debug_pc_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_alu_iq_entries_uop_inst_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_alu_iq_entries_valid_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_issued_uops_branch_br_mask_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_issued_uops_csr_addr_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_issued_uops_debug_pc_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_issued_uops_inst_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_issue_issued_valids_RAM_AUTO_1R1W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_rename_int_free_list_busy_table_RAM_AUTO_1R1W,1,1,0,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_rename_int_free_list_free_list_RAM_AUTO_1R1W,1,1,0,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_rename_int_map_table_br_snapshots_RAM_AUTO_1R1W,1,1,0,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_rename_int_map_table_map_table_RAM_AUTO_1R1W,1,1,0,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
state_rob_entries_unsafe_RAM_AUTO_0R0W,0,1,1,RTL_INSTANCE,MEDIUM,generated module-definition inventory; count is not additive utilization
