port,direction,width,interface,axis_signal,tlast,rtl_line
ap_local_block,output,1,scalar,ap_local_block,absent,44
ap_local_deadlock,output,1,scalar,ap_local_deadlock,absent,45
ap_clk,input,1,scalar,ap_clk,absent,46
ap_rst_n,input,1,scalar,ap_rst_n,absent,47
imem_req_out_TDATA,output,128,imem_req_out,TDATA,absent,48
imem_req_out_TVALID,output,1,imem_req_out,TVALID,absent,49
imem_req_out_TREADY,input,1,imem_req_out,TREADY,absent,50
imem_resp_in_TDATA,input,256,imem_resp_in,TDATA,absent,51
imem_resp_in_TVALID,input,1,imem_resp_in,TVALID,absent,52
imem_resp_in_TREADY,output,1,imem_resp_in,TREADY,absent,53
dmem_req_out_TDATA,output,320,dmem_req_out,TDATA,absent,54
dmem_req_out_TVALID,output,1,dmem_req_out,TVALID,absent,55
dmem_req_out_TREADY,input,1,dmem_req_out,TREADY,absent,56
dmem_resp_in_TDATA,input,384,dmem_resp_in,TDATA,absent,57
dmem_resp_in_TVALID,input,1,dmem_resp_in,TVALID,absent,58
dmem_resp_in_TREADY,output,1,dmem_resp_in,TREADY,absent,59
commit_trace_out_TDATA,output,768,commit_trace_out,TDATA,absent,60
commit_trace_out_TVALID,output,1,commit_trace_out,TVALID,absent,61
commit_trace_out_TREADY,input,1,commit_trace_out,TREADY,absent,62
io_success,input,1,scalar,io_success,absent,63
io_halted,input,1,scalar,io_halted,absent,64
io_trap,input,1,scalar,io_trap,absent,65
io_cycle_valid,input,1,scalar,io_cycle_valid,absent,66
io_cycle,input,64,scalar,io_cycle,absent,67
io_instret,input,64,scalar,io_instret,absent,68
