test,program,run_status,runtime_seconds,log,trace
R0_POWER_ON_RESET,independent_alu,XSIM_PASS,6,reports/gate3_8/logs/independent_alu_R0_POWER_ON_RESET.log,reference/rtl_traces/independent_alu_R0_POWER_ON_RESET.jsonl
R1_RESET_FRONTEND_OUTSTANDING,independent_alu,XSIM_PASS,5,reports/gate3_8/logs/independent_alu_R1_RESET_FRONTEND_OUTSTANDING.log,reference/rtl_traces/independent_alu_R1_RESET_FRONTEND_OUTSTANDING.jsonl
R2_RESET_ROB_NONEMPTY,raw_chain,XSIM_FAIL,7,reports/gate3_8/logs/raw_chain_R2_RESET_ROB_NONEMPTY.log,reference/rtl_traces/raw_chain_R2_RESET_ROB_NONEMPTY.jsonl
R3_RESET_IQ_NONEMPTY,raw_chain,XSIM_PASS,5,reports/gate3_8/logs/raw_chain_R3_RESET_IQ_NONEMPTY.log,reference/rtl_traces/raw_chain_R3_RESET_IQ_NONEMPTY.jsonl
R4_RESET_LOAD_PENDING,load_store,XSIM_PASS,5,reports/gate3_8/logs/load_store_R4_RESET_LOAD_PENDING.log,reference/rtl_traces/load_store_R4_RESET_LOAD_PENDING.jsonl
R5_RESET_STORE_PENDING,tohost,XSIM_PASS,6,reports/gate3_8/logs/tohost_R5_RESET_STORE_PENDING.log,reference/rtl_traces/tohost_R5_RESET_STORE_PENDING.jsonl
R6_RESET_BRANCH_RECOVERY,branch_taken,XSIM_FAIL,5,reports/gate3_8/logs/branch_taken_R6_RESET_BRANCH_RECOVERY.log,reference/rtl_traces/branch_taken_R6_RESET_BRANCH_RECOVERY.jsonl
R7_RESET_TRACE_BACKPRESSURE,independent_alu,XSIM_PASS,5,reports/gate3_8/logs/independent_alu_R7_RESET_TRACE_BACKPRESSURE.log,reference/rtl_traces/independent_alu_R7_RESET_TRACE_BACKPRESSURE.jsonl
B0_TRACE_READY_ALWAYS,independent_alu,XSIM_PASS,6,reports/gate3_8/logs/independent_alu_B0_TRACE_READY_ALWAYS.log,reference/rtl_traces/independent_alu_B0_TRACE_READY_ALWAYS.jsonl
B1_TRACE_STALL_1,raw_chain,XSIM_PASS,5,reports/gate3_8/logs/raw_chain_B1_TRACE_STALL_1.log,reference/rtl_traces/raw_chain_B1_TRACE_STALL_1.jsonl
B2_TRACE_STALL_BURST,branch_taken,XSIM_PASS,5,reports/gate3_8/logs/branch_taken_B2_TRACE_STALL_BURST.log,reference/rtl_traces/branch_taken_B2_TRACE_STALL_BURST.jsonl
B3_TRACE_RANDOM_STALL,nested_branch,XSIM_PASS,5,reports/gate3_8/logs/nested_branch_B3_TRACE_RANDOM_STALL.log,reference/rtl_traces/nested_branch_B3_TRACE_RANDOM_STALL.jsonl
B4_TRACE_STALL_AT_BRANCH_COMMIT,branch_taken,XSIM_PASS,6,reports/gate3_8/logs/branch_taken_B4_TRACE_STALL_AT_BRANCH_COMMIT.log,reference/rtl_traces/branch_taken_B4_TRACE_STALL_AT_BRANCH_COMMIT.jsonl
B5_TRACE_STALL_AT_STORE_COMMIT,independent_alu,XSIM_PASS,5,reports/gate3_8/logs/independent_alu_B5_TRACE_STALL_AT_STORE_COMMIT.log,reference/rtl_traces/independent_alu_B5_TRACE_STALL_AT_STORE_COMMIT.jsonl
I0_IMEM_READY_ALWAYS,independent_alu,XSIM_PASS,5,reports/gate3_8/logs/independent_alu_I0_IMEM_READY_ALWAYS.log,reference/rtl_traces/independent_alu_I0_IMEM_READY_ALWAYS.jsonl
I1_IMEM_REQ_STALL,raw_chain,XSIM_PASS,6,reports/gate3_8/logs/raw_chain_I1_IMEM_REQ_STALL.log,reference/rtl_traces/raw_chain_I1_IMEM_REQ_STALL.jsonl
