test,reset_ordinal,release_cycle,first_fetch_cycle,first_fetch_latency,first_fetch_pc,first_commit_cycle,first_commit_latency,first_commit_pc,status
R0_POWER_ON_RESET,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
R1_RESET_FRONTEND_OUTSTANDING,1,5,693,688,0x0000000000010040,,,,INTERRUPTED
R1_RESET_FRONTEND_OUTSTANDING,2,698,1403,705,0x0000000000010040,1404,706,0x0000000000010040,PASS
R2_RESET_ROB_NONEMPTY,1,5,693,688,0x0000000000010040,,,,INTERRUPTED
R2_RESET_ROB_NONEMPTY,2,929,1617,688,0x0000000000010040,2034,1105,0x0000000000010040,PASS
R3_RESET_IQ_NONEMPTY,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
R3_RESET_IQ_NONEMPTY,2,2427,3115,688,0x0000000000010040,3532,1105,0x0000000000010040,PASS
R4_RESET_LOAD_PENDING,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
R4_RESET_LOAD_PENDING,2,8664,9352,688,0x0000000000010040,9769,1105,0x0000000000010040,PASS
R5_RESET_STORE_PENDING,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
R5_RESET_STORE_PENDING,2,8041,8729,688,0x0000000000010040,9146,1105,0x0000000000010040,PASS
R6_RESET_BRANCH_RECOVERY,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
R6_RESET_BRANCH_RECOVERY,2,2946,3634,688,0x0000000000010040,4051,1105,0x0000000000010040,PASS
R7_RESET_TRACE_BACKPRESSURE,1,5,693,688,0x0000000000010040,,,,INTERRUPTED
R7_RESET_TRACE_BACKPRESSURE,2,1114,1802,688,0x0000000000010040,2222,1108,0x0000000000010040,PASS
B0_TRACE_READY_ALWAYS,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
B1_TRACE_STALL_1,1,5,693,688,0x0000000000010040,1111,1106,0x0000000000010040,PASS
B2_TRACE_STALL_BURST,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
B3_TRACE_RANDOM_STALL,1,5,693,688,0x0000000000010040,1112,1107,0x0000000000010040,PASS
B4_TRACE_STALL_AT_BRANCH_COMMIT,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
B5_TRACE_STALL_AT_STORE_COMMIT,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
I0_IMEM_READY_ALWAYS,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
I1_IMEM_REQ_STALL,1,5,695,690,0x0000000000010040,1509,1504,0x0000000000010040,PASS
I2_IMEM_RESPONSE_DELAY_1,1,5,693,688,0x0000000000010040,1509,1504,0x0000000000010040,PASS
I3_IMEM_RESPONSE_DELAY_4,1,5,693,688,0x0000000000010040,1509,1504,0x0000000000010040,PASS
I4_IMEM_RANDOM_DELAY,1,5,693,688,0x0000000000010040,1509,1504,0x0000000000010040,PASS
I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
I6_IMEM_RESPONSE_DURING_RESET,1,5,693,688,0x0000000000010040,,,,INTERRUPTED
I6_IMEM_RESPONSE_DURING_RESET,2,698,1403,705,0x0000000000010040,1404,706,0x0000000000010040,PASS
D0_DMEM_READY_ALWAYS,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
D1_STORE_REQ_STALL,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
D2_LOAD_REQ_STALL,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
D3_LOAD_RESPONSE_DELAY,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
D4_LOAD_RANDOM_DELAY,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
D5_STALE_LOAD_RESPONSE_AFTER_FLUSH,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
D6_STORE_DURING_BRANCH_FLUSH,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
D7_DMEM_RESPONSE_DURING_RESET,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
D7_DMEM_RESPONSE_DURING_RESET,2,8664,9352,688,0x0000000000010040,9769,1105,0x0000000000010040,PASS
D8_TOHOST_STORE_BACKPRESSURE,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
P0_RESET_AND_BRANCH_MISPREDICT,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
P0_RESET_AND_BRANCH_MISPREDICT,2,2946,3634,688,0x0000000000010040,4051,1105,0x0000000000010040,PASS
P1_RESET_AND_LOAD_RESPONSE,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
P1_RESET_AND_LOAD_RESPONSE,2,8664,9352,688,0x0000000000010040,9769,1105,0x0000000000010040,PASS
P2_RESET_AND_STORE_ACCEPT,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
P2_RESET_AND_STORE_ACCEPT,2,8041,8729,688,0x0000000000010040,9146,1105,0x0000000000010040,PASS
P3_EXCEPTION_AND_BRANCH_MISPREDICT,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
P4_BRANCH_MISPREDICT_AND_LOAD_RESPONSE,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
P5_COMMIT_AND_TRACE_BACKPRESSURE,1,5,693,688,0x0000000000010040,1113,1108,0x0000000000010040,PASS
P6_COMMIT_AND_STORE_BACKPRESSURE,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
P7_REDIRECT_AND_IMEM_RESPONSE,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
N0_NORMAL_INDEPENDENT_ALU,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
N1_NORMAL_RAW_CHAIN,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
N2_NORMAL_BRANCH_TAKEN,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
N3_NORMAL_BRANCH_NOT_TAKEN,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
N4_NORMAL_NESTED_BRANCH,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
N5_NORMAL_LOAD_STORE,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
N6_NORMAL_TOHOST,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
R8_DOUBLE_RUNTIME_RESET,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
R8_DOUBLE_RUNTIME_RESET,2,2029,2717,688,0x0000000000010040,3134,1105,0x0000000000010040,PASS
R8_DOUBLE_RUNTIME_RESET,3,3139,3827,688,0x0000000000010040,4244,1105,0x0000000000010040,PASS
R9_RESET_DURING_RESET_INITIALIZATION,1,5,,,,,,,INTERRUPTED
R9_RESET_DURING_RESET_INITIALIZATION,2,29,717,688,0x0000000000010040,1134,1105,0x0000000000010040,PASS
R10_RESET_IMMEDIATELY_AFTER_RELEASE,1,5,,,,,,,INTERRUPTED
R10_RESET_IMMEDIATELY_AFTER_RELEASE,2,10,698,688,0x0000000000010040,1115,1105,0x0000000000010040,PASS
R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART,1,5,693,688,0x0000000000010040,1110,1105,0x0000000000010040,PASS
R11_RESET_AFTER_TOHOST_CLEAR_AND_RESTART,2,8042,8730,688,0x0000000000010040,9147,1105,0x0000000000010040,PASS
