test,reset_ordinal,release_cycle,first_fetch_cycle,first_fetch_latency,first_fetch_pc,first_commit_cycle,first_commit_latency,first_commit_pc,status
R0_POWER_ON_RESET,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
R1_RESET_FRONTEND_OUTSTANDING,1,5,1011,1006,0x0000000000010040,,,,INTERRUPTED
R1_RESET_FRONTEND_OUTSTANDING,2,1016,2057,1041,0x0000000000010040,2058,1042,0x0000000000010040,PASS
R2_RESET_ROB_NONEMPTY,1,5,1011,1006,0x0000000000010040,,,,INTERRUPTED
R2_RESET_ROB_NONEMPTY,2,1258,2264,1006,0x0000000000010040,2722,1464,0x0000000000010040,PASS
R3_RESET_IQ_NONEMPTY,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
R3_RESET_IQ_NONEMPTY,2,2873,3879,1006,0x0000000000010040,4337,1464,0x0000000000010040,PASS
R4_RESET_LOAD_PENDING,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
R4_RESET_LOAD_PENDING,2,9405,10411,1006,0x0000000000010040,10869,1464,0x0000000000010040,PASS
R5_RESET_STORE_PENDING,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
R5_RESET_STORE_PENDING,2,8718,9724,1006,0x0000000000010040,10182,1464,0x0000000000010040,PASS
R6_RESET_BRANCH_RECOVERY,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
R6_RESET_BRANCH_RECOVERY,2,3435,4441,1006,0x0000000000010040,4899,1464,0x0000000000010040,PASS
R7_RESET_TRACE_BACKPRESSURE,1,5,1011,1006,0x0000000000010040,,,,INTERRUPTED
R7_RESET_TRACE_BACKPRESSURE,2,1473,2479,1006,0x0000000000010040,2940,1467,0x0000000000010040,PASS
B0_TRACE_READY_ALWAYS,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
B1_TRACE_STALL_1,1,5,1011,1006,0x0000000000010040,1470,1465,0x0000000000010040,PASS
B2_TRACE_STALL_BURST,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
B3_TRACE_RANDOM_STALL,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
B4_TRACE_STALL_AT_BRANCH_COMMIT,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
B5_TRACE_STALL_AT_STORE_COMMIT,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
I0_IMEM_READY_ALWAYS,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
I1_IMEM_REQ_STALL,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
I2_IMEM_RESPONSE_DELAY_1,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
I3_IMEM_RESPONSE_DELAY_4,1,5,1011,1006,0x0000000000010040,1891,1886,0x0000000000010040,PASS
I4_IMEM_RANDOM_DELAY,1,5,1011,1006,0x0000000000010040,1891,1886,0x0000000000010040,PASS
I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
I6_IMEM_RESPONSE_DURING_RESET,1,5,1011,1006,0x0000000000010040,,,,INTERRUPTED
I6_IMEM_RESPONSE_DURING_RESET,2,1016,2057,1041,0x0000000000010040,2058,1042,0x0000000000010040,PASS
D0_DMEM_READY_ALWAYS,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
D1_STORE_REQ_STALL,1,5,1011,1006,0x0000000000010040,1469,1464,0x0000000000010040,PASS
