path,sha256,purpose
reports/gate4_0/w3/w3_results.md,71c0ba7892247ed4f91973d12163c3583f71c81405b9c9bf795dd119dc6f9f3f,W3 closure decision
reports/gate4_0/w3/completion_accounting.csv,abc33e4f8a5d70e95e9c64b71ff0841312f24bcc8df5378244c41005fb5a96f4,acceptance accounting
reports/gate4_0/w3/trace_manifest.csv,d417244664dc977d1c93b15afe67ec9769d6a38da3fc21078d1cb608a4c5c629,trace evidence index
reports/gate4_0/w3/source_hashes_after.txt,be2c21c3717f4990ddbab6ec1ae685979f3da617deceb309f48c93621df3b7c5,post-evidence canonical source identity
reports/gate4_0/w3/source_scope.md,42eeae643950a8e9253950279187df0f9d47dd3f5eca14a2ae2692f5ce629cab,canonical source scope and exclusions
reports/gate4_0/w3/baseline_manifest.md,3db90198a8d622b49c67479f42a7c2655e769930ab93db005b965351854871d0,immutable W2 baseline and dirty-log exclusions
reports/gate4_0/w3/regression/regression_after.md,98cba91bb7f8f2786c49da8035e03e0edc545f1fda3affa1fb68319e0a2052b7,software result summary
reports/gate4_0/w3/regression/suite_results.csv,b23bfade0c8ae8e4850950fefdf6ad76400e8e94f8511cbae184c9bb3434164c,software suite accounting
reports/gate4_0/w3/regression/random_metrics.csv,4e9c2fa0dedaa89d2bd9cb84fdb4611a5487c86a18a5c50c9d1788074b10186c,persistent random accounting
reports/gate4_0/w3/rtl_test_matrix.csv,d0e90e570b603a3ddf8e98cdb057a763d0d449f47f57553692094da46fc072d4,focused RTL results
reports/gate4_0/w3/full_core_rtl_matrix.csv,c04d823b42ba3e7396843d5d829ddc767849351e15e913c93e9163b2517c5577,full-core XSim and trace comparison
reports/gate4_0/w3/full_core_rtl_summary.json,ec9119b3e022a937eb295a66a5fc1076b25a3adf293494bc351db5f096d3ac3c,full-core summary
reports/gate4_0/w3/resource_summary.csv,0bbfaa0156d87e2246e4211572af575d1774b7c023fa651f085cf5d436cdca75,five csynth target summary
reports/gate4_0/w3/csynth/synth_issue_top/synth_issue_top_csynth.xml,dd7288a6c1dd3fafcdbc7f0bf83c463f8bc111c45c7bbc4626cbcd77ff18792d,issue csynth result
reports/gate4_0/w3/csynth/synth_execute_top/synth_execute_top_csynth.xml,f5de89f2d2bb592735c59acd7aa02ee871e3a1d522d763f1f99c00d218362470,execute csynth result
reports/gate4_0/w3/csynth/synth_rob_top/synth_rob_top_csynth.xml,21e33a60c01990b114554cb3ce68433e19fc92debbfbd3f04d8e9ad82e32a3d1,ROB csynth result
reports/gate4_0/w3/csynth/synth_lsu_top/synth_lsu_top_csynth.xml,3510e5cb58c06452aaf9d931a0503353e7275e97fa76c47957d52e24e5a154fa,LSU csynth result
reports/gate4_0/w3/csynth/boom_core_top/boom_core_top_csynth.xml,c442d46190be1283d0ba5cc08167880e217a9be41e3c326f2556f7d3f873ad3e,full-core csynth result
reports/gate4_0/w3/guardrail_audit.md,690ba93e805902aae390a64af95f4ec445842674248c37c74ea48927d23c595c,synthesis guardrail result
reports/gate4_0/README.md,fd81f865cd259f2aa795d8cc3230d9db73e513d30bd78037ab059f8d6ca29f12,Gate 4.0 stage status
docs/implementation_status.md,6dfc9b14ec68e8533eb47dd14efd45d9aeb27541f8ef6fec9d995d14ac4687cc,project implementation status
