test,program,xsim_status,normalize_status,architecture_status,runtime_seconds,cpp_records,csim_records,rtl_records,log,trace,normalized_trace,comparison
R0_POWER_ON_RESET,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_R0_POWER_ON_RESET.log,reports/gate4_0/w3/rtl_traces/independent_alu_R0_POWER_ON_RESET.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_R0_POWER_ON_RESET.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_R0_POWER_ON_RESET.json
R1_RESET_FRONTEND_OUTSTANDING,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_R1_RESET_FRONTEND_OUTSTANDING.log,reports/gate4_0/w3/rtl_traces/independent_alu_R1_RESET_FRONTEND_OUTSTANDING.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_R1_RESET_FRONTEND_OUTSTANDING.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_R1_RESET_FRONTEND_OUTSTANDING.json
R2_RESET_ROB_NONEMPTY,raw_chain,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/raw_chain_R2_RESET_ROB_NONEMPTY.log,reports/gate4_0/w3/rtl_traces/raw_chain_R2_RESET_ROB_NONEMPTY.jsonl,reports/gate4_0/w3/normalized_rtl_traces/raw_chain_R2_RESET_ROB_NONEMPTY.jsonl,reports/gate4_0/w3/rtl_comparisons/raw_chain_R2_RESET_ROB_NONEMPTY.json
R3_RESET_IQ_NONEMPTY,raw_chain,PASS,PASS,PASS,6,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/raw_chain_R3_RESET_IQ_NONEMPTY.log,reports/gate4_0/w3/rtl_traces/raw_chain_R3_RESET_IQ_NONEMPTY.jsonl,reports/gate4_0/w3/normalized_rtl_traces/raw_chain_R3_RESET_IQ_NONEMPTY.jsonl,reports/gate4_0/w3/rtl_comparisons/raw_chain_R3_RESET_IQ_NONEMPTY.json
R4_RESET_LOAD_PENDING,load_store,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/load_store_R4_RESET_LOAD_PENDING.log,reports/gate4_0/w3/rtl_traces/load_store_R4_RESET_LOAD_PENDING.jsonl,reports/gate4_0/w3/normalized_rtl_traces/load_store_R4_RESET_LOAD_PENDING.jsonl,reports/gate4_0/w3/rtl_comparisons/load_store_R4_RESET_LOAD_PENDING.json
R5_RESET_STORE_PENDING,tohost,PASS,PASS,PASS,6,5,5,5,reports/gate4_0/w3/full_core_rtl_logs/tohost_R5_RESET_STORE_PENDING.log,reports/gate4_0/w3/rtl_traces/tohost_R5_RESET_STORE_PENDING.jsonl,reports/gate4_0/w3/normalized_rtl_traces/tohost_R5_RESET_STORE_PENDING.jsonl,reports/gate4_0/w3/rtl_comparisons/tohost_R5_RESET_STORE_PENDING.json
R6_RESET_BRANCH_RECOVERY,branch_taken,PASS,PASS,PASS,5,11,11,11,reports/gate4_0/w3/full_core_rtl_logs/branch_taken_R6_RESET_BRANCH_RECOVERY.log,reports/gate4_0/w3/rtl_traces/branch_taken_R6_RESET_BRANCH_RECOVERY.jsonl,reports/gate4_0/w3/normalized_rtl_traces/branch_taken_R6_RESET_BRANCH_RECOVERY.jsonl,reports/gate4_0/w3/rtl_comparisons/branch_taken_R6_RESET_BRANCH_RECOVERY.json
R7_RESET_TRACE_BACKPRESSURE,independent_alu,PASS,PASS,PASS,6,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_R7_RESET_TRACE_BACKPRESSURE.log,reports/gate4_0/w3/rtl_traces/independent_alu_R7_RESET_TRACE_BACKPRESSURE.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_R7_RESET_TRACE_BACKPRESSURE.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_R7_RESET_TRACE_BACKPRESSURE.json
B0_TRACE_READY_ALWAYS,independent_alu,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/independent_alu_B0_TRACE_READY_ALWAYS.log,reports/gate4_0/w3/rtl_traces/independent_alu_B0_TRACE_READY_ALWAYS.jsonl,reports/gate4_0/w3/normalized_rtl_traces/independent_alu_B0_TRACE_READY_ALWAYS.jsonl,reports/gate4_0/w3/rtl_comparisons/independent_alu_B0_TRACE_READY_ALWAYS.json
B1_TRACE_STALL_1,raw_chain,PASS,PASS,PASS,5,10,10,10,reports/gate4_0/w3/full_core_rtl_logs/raw_chain_B1_TRACE_STALL_1.log,reports/gate4_0/w3/rtl_traces/raw_chain_B1_TRACE_STALL_1.jsonl,reports/gate4_0/w3/normalized_rtl_traces/raw_chain_B1_TRACE_STALL_1.jsonl,reports/gate4_0/w3/rtl_comparisons/raw_chain_B1_TRACE_STALL_1.json
