program,hls_source,status,boom_commits,hls_commits,compared_commits,first_mismatch_index,first_mismatch_reason,store_commit_match,tohost_match,boom_store_pc,hls_store_pc,boom_tohost_address,hls_tohost_address,boom_tohost_value,hls_tohost_value,hls_store_memory_address,hls_store_memory_data,hls_store_memory_mask
independent_alu,hls_cpp,PASS,9,9,9,,,TRUE,TRUE,0x0000000080000020,0x0000000080000020,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
raw_chain,hls_cpp,PASS,9,9,9,,,TRUE,TRUE,0x0000000080000020,0x0000000080000020,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
branch_taken,hls_cpp,PASS,10,10,10,,,TRUE,TRUE,0x0000000080000028,0x0000000080000028,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
branch_not_taken,hls_cpp,PASS,11,11,11,,,TRUE,TRUE,0x0000000080000028,0x0000000080000028,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
nested_branch,hls_cpp,PASS,11,11,11,,,TRUE,TRUE,0x0000000080000030,0x0000000080000030,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
independent_alu,hls_csim,PASS,9,9,9,,,TRUE,TRUE,0x0000000080000020,0x0000000080000020,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
raw_chain,hls_csim,PASS,9,9,9,,,TRUE,TRUE,0x0000000080000020,0x0000000080000020,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
branch_taken,hls_csim,PASS,10,10,10,,,TRUE,TRUE,0x0000000080000028,0x0000000080000028,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
branch_not_taken,hls_csim,PASS,11,11,11,,,TRUE,TRUE,0x0000000080000028,0x0000000080000028,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
nested_branch,hls_csim,PASS,11,11,11,,,TRUE,TRUE,0x0000000080000030,0x0000000080000030,0x0000000080000080,0x0000000080000080,0x0000000000000001,0x0000000000000001,0x0000000080000080,0x0000000000000001,0x000000ff
