campaign,metric,value
w3_dual_execute_random_tests,random_seeds,100
w3_dual_execute_random_tests,cycles_per_seed,64
w3_dual_execute_random_tests,total_random_cycles,6400
w3_dual_execute_random_tests,generated_tokens,4886
w3_dual_execute_random_tests,rob_allocations,4802
w3_dual_execute_random_tests,rob_index_reuses,2109
w3_dual_execute_random_tests,rob_index_wraps,15
w3_dual_execute_random_tests,allocation_id_wraps,50
w3_dual_execute_random_tests,dispatch_retries,1625
w3_dual_execute_random_tests,iq_occupancy_samples,12106
w3_dual_execute_random_tests,accepted_uops,4253
w3_dual_execute_random_tests,dual_accept_cycles,612
w3_dual_execute_random_tests,retained_grants,4754
w3_dual_execute_random_tests,completion_consumed,3574
w3_dual_execute_random_tests,held_completion_cycles,1283
w3_dual_execute_random_tests,random_loads,1236
w3_dual_execute_random_tests,random_stores,1277
w3_dual_execute_random_tests,ldq_full_cycles,77
w3_dual_execute_random_tests,stq_full_cycles,4
w3_dual_execute_random_tests,ldq_drains,657
w3_dual_execute_random_tests,stq_drains,733
w3_dual_execute_random_tests,load_requests,725
w3_dual_execute_random_tests,load_responses,657
w3_dual_execute_random_tests,load_response_delay_cycles,3446
w3_dual_execute_random_tests,stale_responses,783
w3_dual_execute_random_tests,stale_completion_allocation_ids,100
w3_dual_execute_random_tests,branch_resolves,526
w3_dual_execute_random_tests,branch_mispredicts,263
w3_dual_execute_random_tests,branch_killed_tokens,477
w3_dual_execute_random_tests,resets,100
w3_dual_execute_random_tests,reset_killed_tokens,1594
w3_dual_execute_random_tests,trace_backpressure_cycles,1715
w3_dual_execute_random_tests,dmem_backpressure_cycles,2034
w3_dual_execute_random_tests,committed_tokens,2815
w3_dual_execute_random_tests,consumed_tokens,2815
w3_dual_execute_random_tests,killed_tokens,2071
w3_dual_execute_random_tests,lane_ready_mask_00,1957
w3_dual_execute_random_tests,lane_ready_mask_01,1663
w3_dual_execute_random_tests,lane_ready_mask_10,1582
w3_dual_execute_random_tests,lane_ready_mask_11,2825
w3_dual_execute_random_tests,completion_free_mask_00,83
w3_dual_execute_random_tests,completion_free_mask_01,666
w3_dual_execute_random_tests,completion_free_mask_10,534
w3_dual_execute_random_tests,completion_free_mask_11,6744
w3_dual_execute_random_tests,dropped_tokens,0
w3_dual_execute_random_tests,duplicate_tokens,0
w2_dual_grant_random_tests,random_seeds,64
w2_dual_grant_random_tests,cycles_per_seed,32
w2_dual_grant_random_tests,total_random_cycles,2048
w2_dual_grant_random_tests,class_int,401
w2_dual_grant_random_tests,class_mem,430
w2_dual_grant_random_tests,class_unsupported,456
w2_dual_grant_random_tests,branch_resolves,1024
w2_dual_grant_random_tests,branch_mispredicts,526
w2_dual_grant_random_tests,branch_kills,459
w2_dual_grant_random_tests,dispatch_total,1036
w2_dual_grant_random_tests,dispatch_bypass,131
w2_dual_grant_random_tests,dispatch_enqueue,829
w2_dual_grant_random_tests,port_ready_mask_00,550
w2_dual_grant_random_tests,port_ready_mask_01,508
w2_dual_grant_random_tests,port_ready_mask_10,498
w2_dual_grant_random_tests,port_ready_mask_11,492
w2_dual_grant_random_tests,dual_grants,116
w2_dual_grant_random_tests,accepted_grants,499
w2_dual_grant_random_tests,retained_grants,534
w2_dual_grant_random_tests,dropped_grants,0
branch_snapshot_random_tests,random_seed_runs,21
branch_snapshot_random_tests,passed_checks,42
