metric,observed,requirement,status
accepted_conservation_lhs,20717,=accepted_conservation_rhs,PASS
accepted_conservation_rhs,20717,observed,PASS
accepted_pending_final,0,=0,PASS
accepted_terminal_committed,9740,>0,PASS
accepted_terminal_faulted,667,>0,PASS
accepted_then_killed,10310,>0,PASS
accepted_tokens,20717,>0,PASS
allocation_id_wraps,64,>0,PASS
bounded_drain_cycles,1141,>0,PASS
branch_killed_tokens,158,>=128,PASS
branch_mispredicts,331,>0,PASS
branch_resolves,635,>0,PASS
bypass_publications,17309,>0,PASS
commit_payload_checks,9838,>0,PASS
commits,9740,>0,PASS
csr_counter_checks,16214,>0,PASS
cycles_per_seed,128,=128,PASS
delayed_response_cycles,12558,>0,PASS
dmem_backpressure_cycles,529,>0,PASS
dropped_tokens,0,=0,PASS
duplicate_tokens,0,=0,PASS
eligible_write_arbitration_wait_bound_cycles,1,=1,PASS
exact_rob_complete_checks,19419,=rob_completes,PASS
exact_wakeup_checks,17309,=wakeup_publications,PASS
exact_writeback_checks,17081,=prf_writes,PASS
fault_metadata_checks,16214,>0,PASS
fence_blocked_cycles,487,>=128,PASS
full_branch_update_checks,635,>0,PASS
full_load_request_checks,1446,>0,PASS
int_completion_events,10770,>0,PASS
iq_prs1_checks,11043,>0,PASS
iq_prs2_checks,11043,>0,PASS
iq_prs3_checks,11043,>0,PASS
ldq_capacity_blocked_cycles,0,observed,PASS
load_response_events,2113,>0,PASS
lsu_ownership_checks,16214,>0,PASS
max_eligible_write_arbitration_wait_cycles,1,<=eligible_write_arbitration_wait_bound_cycles,PASS
mem_agu_events,1896,>0,PASS
mem_completion_events,10958,>0,PASS
offer_to_accept_latency_max,1,observed,PASS
offer_to_accept_latency_samples,20717,>0,PASS
offer_to_accept_latency_sum,361,observed,PASS
peak_bypass,3,=3,PASS
peak_completion_accepts,3,=3,PASS
peak_completion_sources,3,=3,PASS
peak_prf_writes,2,=2,PASS
peak_rob_completes,3,=3,PASS
peak_wakeups,3,=3,PASS
pending_pressure_cycles,9741,>=1000,PASS
post_reset_stale_responses,1233,>=128,PASS
precise_exception_events,661,>0,PASS
prf_busy_checks,843128,>0,PASS
prf_value_checks,843128,>0,PASS
prf_writes,17081,>0,PASS
production_order_collision_probes,128,=128,PASS
random_seeds,128,=128,PASS
repeated_wakeup_publications,222,>0,PASS
reset_killed_tokens,10645,>0,PASS
resets,1311,=resets_with_inflight,PASS
resets_with_inflight,1311,>=128,PASS
rob_complete_to_commit_latency_max,54,observed,PASS
rob_complete_to_commit_latency_samples,9740,>0,PASS
rob_complete_to_commit_latency_sum,43115,observed,PASS
rob_completes,19419,>0,PASS
rob_index_reuses,17928,>0,PASS
rob_index_wraps,92,>0,PASS
same_pdst_different_value,180,>=128,PASS
same_pdst_same_value,205,>=128,PASS
seed_pass_records,128,=128,PASS
source_age_permutations,789,>=128,PASS
source_combination_mask_0,2963,>0,PASS
source_combination_mask_1,117,>0,PASS
source_combination_mask_2,1412,>0,PASS
source_combination_mask_3,66,>0,PASS
source_combination_mask_4,1981,>0,PASS
source_combination_mask_5,55,>0,PASS
source_combination_mask_6,9246,>0,PASS
source_combination_mask_7,374,>0,PASS
source_conservation_lhs,24504,=source_conservation_rhs,PASS
source_conservation_rhs,24504,observed,PASS
source_events_accepted,21315,>0,PASS
source_events_faulted,524,>0,PASS
source_events_killed,501,>0,PASS
source_events_offered,24504,>0,PASS
source_events_pending_final,0,=0,PASS
source_events_rejected,2164,>0,PASS
stale_completion_events,663,>0,PASS
stale_response_events,1501,>0,PASS
stale_side_effects,0,=0,PASS
stale_snapshot_checks,2164,=source_events_rejected,PASS
store_events,892,>0,PASS
stq_capacity_blocked_cycles,0,observed,PASS
sustained_arrival_cycles,881,>=128,PASS
terminal_duplicate_classifications,0,=0,PASS
terminal_missing_records,0,=0,PASS
token_conservation_lhs,21728,=token_conservation_rhs,PASS
token_conservation_rhs,21728,observed,PASS
tokens_committed,9740,>0,PASS
tokens_faulted,1185,>0,PASS
tokens_killed,10803,>0,PASS
tokens_offered,21728,>0,PASS
tokens_pending_final,0,=0,PASS
total_random_cycles,16384,=16384,PASS
trace_backpressure_cycles,561,>0,PASS
unexplained_tokens,0,=0,PASS
validation_faults,262,>=128,PASS
wakeup_publications,17309,=bypass_publications,PASS
