test,program,run_status,runtime_seconds,log,trace
R0_POWER_ON_RESET,independent_alu,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_R0_POWER_ON_RESET.log,reference/rtl_traces/w4/full_core/independent_alu_R0_POWER_ON_RESET.jsonl
R1_RESET_FRONTEND_OUTSTANDING,independent_alu,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_R1_RESET_FRONTEND_OUTSTANDING.log,reference/rtl_traces/w4/full_core/independent_alu_R1_RESET_FRONTEND_OUTSTANDING.jsonl
R2_RESET_ROB_NONEMPTY,raw_chain,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/raw_chain_R2_RESET_ROB_NONEMPTY.log,reference/rtl_traces/w4/full_core/raw_chain_R2_RESET_ROB_NONEMPTY.jsonl
R3_RESET_IQ_NONEMPTY,raw_chain,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/raw_chain_R3_RESET_IQ_NONEMPTY.log,reference/rtl_traces/w4/full_core/raw_chain_R3_RESET_IQ_NONEMPTY.jsonl
R4_RESET_LOAD_PENDING,load_store,PASS,8,reports/gate4_0/w4/full_core_rtl_logs/load_store_R4_RESET_LOAD_PENDING.log,reference/rtl_traces/w4/full_core/load_store_R4_RESET_LOAD_PENDING.jsonl
R5_RESET_STORE_PENDING,tohost,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/tohost_R5_RESET_STORE_PENDING.log,reference/rtl_traces/w4/full_core/tohost_R5_RESET_STORE_PENDING.jsonl
R6_RESET_BRANCH_RECOVERY,branch_taken,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/branch_taken_R6_RESET_BRANCH_RECOVERY.log,reference/rtl_traces/w4/full_core/branch_taken_R6_RESET_BRANCH_RECOVERY.jsonl
R7_RESET_TRACE_BACKPRESSURE,independent_alu,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_R7_RESET_TRACE_BACKPRESSURE.log,reference/rtl_traces/w4/full_core/independent_alu_R7_RESET_TRACE_BACKPRESSURE.jsonl
B0_TRACE_READY_ALWAYS,independent_alu,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_B0_TRACE_READY_ALWAYS.log,reference/rtl_traces/w4/full_core/independent_alu_B0_TRACE_READY_ALWAYS.jsonl
B1_TRACE_STALL_1,raw_chain,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/raw_chain_B1_TRACE_STALL_1.log,reference/rtl_traces/w4/full_core/raw_chain_B1_TRACE_STALL_1.jsonl
B2_TRACE_STALL_BURST,branch_taken,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/branch_taken_B2_TRACE_STALL_BURST.log,reference/rtl_traces/w4/full_core/branch_taken_B2_TRACE_STALL_BURST.jsonl
B3_TRACE_RANDOM_STALL,nested_branch,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/nested_branch_B3_TRACE_RANDOM_STALL.log,reference/rtl_traces/w4/full_core/nested_branch_B3_TRACE_RANDOM_STALL.jsonl
B4_TRACE_STALL_AT_BRANCH_COMMIT,branch_taken,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/branch_taken_B4_TRACE_STALL_AT_BRANCH_COMMIT.log,reference/rtl_traces/w4/full_core/branch_taken_B4_TRACE_STALL_AT_BRANCH_COMMIT.jsonl
B5_TRACE_STALL_AT_STORE_COMMIT,independent_alu,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_B5_TRACE_STALL_AT_STORE_COMMIT.log,reference/rtl_traces/w4/full_core/independent_alu_B5_TRACE_STALL_AT_STORE_COMMIT.jsonl
I0_IMEM_READY_ALWAYS,independent_alu,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_I0_IMEM_READY_ALWAYS.log,reference/rtl_traces/w4/full_core/independent_alu_I0_IMEM_READY_ALWAYS.jsonl
I1_IMEM_REQ_STALL,raw_chain,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/raw_chain_I1_IMEM_REQ_STALL.log,reference/rtl_traces/w4/full_core/raw_chain_I1_IMEM_REQ_STALL.jsonl
I2_IMEM_RESPONSE_DELAY_1,independent_alu,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_I2_IMEM_RESPONSE_DELAY_1.log,reference/rtl_traces/w4/full_core/independent_alu_I2_IMEM_RESPONSE_DELAY_1.jsonl
I3_IMEM_RESPONSE_DELAY_4,branch_not_taken,PASS,8,reports/gate4_0/w4/full_core_rtl_logs/branch_not_taken_I3_IMEM_RESPONSE_DELAY_4.log,reference/rtl_traces/w4/full_core/branch_not_taken_I3_IMEM_RESPONSE_DELAY_4.jsonl
I4_IMEM_RANDOM_DELAY,nested_branch,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/nested_branch_I4_IMEM_RANDOM_DELAY.log,reference/rtl_traces/w4/full_core/nested_branch_I4_IMEM_RANDOM_DELAY.jsonl
I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT,branch_taken,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/branch_taken_I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT.log,reference/rtl_traces/w4/full_core/branch_taken_I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT.jsonl
I6_IMEM_RESPONSE_DURING_RESET,independent_alu,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_I6_IMEM_RESPONSE_DURING_RESET.log,reference/rtl_traces/w4/full_core/independent_alu_I6_IMEM_RESPONSE_DURING_RESET.jsonl
D0_DMEM_READY_ALWAYS,load_store,PASS,7,reports/gate4_0/w4/full_core_rtl_logs/load_store_D0_DMEM_READY_ALWAYS.log,reference/rtl_traces/w4/full_core/load_store_D0_DMEM_READY_ALWAYS.jsonl
D1_STORE_REQ_STALL,independent_alu,PASS,6,reports/gate4_0/w4/full_core_rtl_logs/independent_alu_D1_STORE_REQ_STALL.log,reference/rtl_traces/w4/full_core/independent_alu_D1_STORE_REQ_STALL.jsonl
