campaign,metric,value
w3_dual_execute_random_tests,random_seeds,100
w3_dual_execute_random_tests,cycles_per_seed,64
w3_dual_execute_random_tests,total_random_cycles,6400
w3_dual_execute_random_tests,generated_tokens,4866
w3_dual_execute_random_tests,rob_allocations,4801
w3_dual_execute_random_tests,execute_events,4315
w3_dual_execute_random_tests,rob_index_reuses,2142
w3_dual_execute_random_tests,rob_index_wraps,14
w3_dual_execute_random_tests,allocation_id_wraps,50
w3_dual_execute_random_tests,dispatch_retries,1621
w3_dual_execute_random_tests,iq_occupancy_samples,9881
w3_dual_execute_random_tests,accepted_uops,4315
w3_dual_execute_random_tests,dual_accept_cycles,640
w3_dual_execute_random_tests,retained_grants,4134
w3_dual_execute_random_tests,completion_consumed,4859
w3_dual_execute_random_tests,held_completion_cycles,25
w3_dual_execute_random_tests,product_rob_completes,3782
w3_dual_execute_random_tests,product_prf_writes,2124
w3_dual_execute_random_tests,product_wakeups,2124
w3_dual_execute_random_tests,product_peak_rob_completes,3
w3_dual_execute_random_tests,product_peak_prf_writes,1
w3_dual_execute_random_tests,product_peak_wakeups,1
w3_dual_execute_random_tests,random_loads,1274
w3_dual_execute_random_tests,random_stores,1269
w3_dual_execute_random_tests,ldq_full_cycles,35
w3_dual_execute_random_tests,stq_full_cycles,8
w3_dual_execute_random_tests,ldq_drains,592
w3_dual_execute_random_tests,stq_drains,710
w3_dual_execute_random_tests,load_requests,728
w3_dual_execute_random_tests,load_responses,663
w3_dual_execute_random_tests,load_response_delay_cycles,3650
w3_dual_execute_random_tests,stale_responses,829
w3_dual_execute_random_tests,stale_completion_allocation_ids,100
w3_dual_execute_random_tests,branch_resolves,573
w3_dual_execute_random_tests,branch_mispredicts,309
w3_dual_execute_random_tests,branch_killed_tokens,470
w3_dual_execute_random_tests,resets,100
w3_dual_execute_random_tests,reset_killed_tokens,1608
w3_dual_execute_random_tests,trace_backpressure_cycles,1718
w3_dual_execute_random_tests,dmem_backpressure_cycles,2052
w3_dual_execute_random_tests,committed_tokens,2788
w3_dual_execute_random_tests,consumed_tokens,2788
w3_dual_execute_random_tests,killed_tokens,2078
w3_dual_execute_random_tests,lane_ready_mask_00,1638
w3_dual_execute_random_tests,lane_ready_mask_01,1648
w3_dual_execute_random_tests,lane_ready_mask_10,1495
w3_dual_execute_random_tests,lane_ready_mask_11,3316
w3_dual_execute_random_tests,completion_free_mask_00,0
w3_dual_execute_random_tests,completion_free_mask_01,25
w3_dual_execute_random_tests,completion_free_mask_10,0
w3_dual_execute_random_tests,completion_free_mask_11,8072
w3_dual_execute_random_tests,dropped_tokens,0
w3_dual_execute_random_tests,duplicate_tokens,0
w2_dual_grant_random_tests,random_seeds,64
w2_dual_grant_random_tests,cycles_per_seed,32
w2_dual_grant_random_tests,total_random_cycles,2048
w2_dual_grant_random_tests,class_int,401
w2_dual_grant_random_tests,class_mem,430
w2_dual_grant_random_tests,class_unsupported,456
w2_dual_grant_random_tests,branch_resolves,1024
w2_dual_grant_random_tests,branch_mispredicts,526
w2_dual_grant_random_tests,branch_kills,459
w2_dual_grant_random_tests,dispatch_total,1036
w2_dual_grant_random_tests,dispatch_bypass,131
w2_dual_grant_random_tests,dispatch_enqueue,829
w2_dual_grant_random_tests,port_ready_mask_00,550
w2_dual_grant_random_tests,port_ready_mask_01,508
w2_dual_grant_random_tests,port_ready_mask_10,498
w2_dual_grant_random_tests,port_ready_mask_11,492
w2_dual_grant_random_tests,dual_grants,116
w2_dual_grant_random_tests,accepted_grants,499
w2_dual_grant_random_tests,retained_grants,534
w2_dual_grant_random_tests,dropped_grants,0
branch_snapshot_random_tests,random_seed_runs,21
branch_snapshot_random_tests,passed_checks,42
