suite,status,passed,failed,runs,log,sha256
W3 dispatch retry,PASS,12,0,1,logs/dispatch_retry_tests.log,4cd3a0a4df0d4e12c2c46a1b39ec147f7b8ce926b39e1d9ea246fb4dad06140d
W3 dual execute,PASS,15,0,1,logs/w3_dual_execute_tests.log,1d327f712a755cbbae5c78ef0d3d38c3fe275320aec5a214a40001194c1bd668
W3 completion buffer,PASS,18,0,1,logs/w3_completion_buffer_tests.log,f8d680b7fdc9084246f31628e6da8b2c06765ca175b43042090144935130c127
W2 dual-grant directed,PASS,28,0,1,logs/w2_dual_grant_tests.log,227fcb5487f74b851a3ff98b701182bddc679883fa5e7e67ae0afb626ef17c55
Directed architectural,PASS,25,0,1,logs/directed_tests.log,b2ac6f5e20c5e43b073ed88aeedf8967e5679dd4a8f7b8e083b8790db2931ab3
Gate 1,PASS,13,0,1,logs/gate1_regression_tests.log,d02ec2385a6480b1ddab2a86d20047490e56fc30895e7bcc78df6ef0326fd061
LSU,PASS,14,0,1,logs/lsu_minimal_tests.log,74df03b790dbf3842ce18c4087b96631ee38b42f49881781d8320784164f90c9
Reset default,PASS,14,0,1,logs/reset_architecture_tests.log,7b0ae4133dd0d4d0b9846969e267ccb39d8f10ad780816a159f5f01bac4e94e8
Reset pipelined,PASS,14,0,1,logs/reset_architecture_pipelined_tests.log,7b0ae4133dd0d4d0b9846969e267ccb39d8f10ad780816a159f5f01bac4e94e8
Branch directed,PASS,30,0,1,logs/branch_snapshot_tests.log,412affea88bd48d63154c7f06ecc0f2cd6bd1ca16df3f49c787771dcfed1a6dd
IQ compaction,PASS,10,0,1,logs/iq_compaction_tests.log,e4ee91f1845a638ac64d9058c794f5888dabf2abaea87af05949432b7c260bda
W1 lane interface,PASS,1,0,1,logs/gate4_w1_lane_interface_tests.log,d43bd0e56fd747f34a18a95dff1f25cc218441b617b7f1f4289f2ca037f0d1b3
W3 persistent random,PASS,100,0,100,logs/w3_dual_execute_random_tests.log,2ea020020001e611778ec07852123344b310e14545c801efe2cd1c194b8690cc
W2 dual-grant random,PASS,64,0,64,logs/w2_dual_grant_random_tests.log,23fa106061440c708e3bb87fa4f8bd528437683c1b589d260ab7eb7c51d6b8ec
Branch random,PASS,42,0,21,logs/branch_snapshot_random_tests.log,e090f56d75582bf4c4e80424f5f7261c9d363d36c1dfd2ac413823bdbe9248c7
