campaign,metric,value
w3_dual_execute_random_tests,random_seeds,100
w3_dual_execute_random_tests,cycles_per_seed,64
w3_dual_execute_random_tests,total_random_cycles,6400
w3_dual_execute_random_tests,generated_tokens,4876
w3_dual_execute_random_tests,rob_allocations,4813
w3_dual_execute_random_tests,execute_events,4332
w3_dual_execute_random_tests,rob_index_reuses,2140
w3_dual_execute_random_tests,rob_index_wraps,16
w3_dual_execute_random_tests,allocation_id_wraps,50
w3_dual_execute_random_tests,dispatch_retries,1611
w3_dual_execute_random_tests,iq_occupancy_samples,9763
w3_dual_execute_random_tests,accepted_uops,4332
w3_dual_execute_random_tests,dual_accept_cycles,650
w3_dual_execute_random_tests,retained_grants,4131
w3_dual_execute_random_tests,completion_consumed,4867
w3_dual_execute_random_tests,held_completion_cycles,13
w3_dual_execute_random_tests,product_rob_completes,3805
w3_dual_execute_random_tests,product_prf_writes,2143
w3_dual_execute_random_tests,product_wakeups,2143
w3_dual_execute_random_tests,product_peak_rob_completes,3
w3_dual_execute_random_tests,product_peak_prf_writes,2
w3_dual_execute_random_tests,product_peak_wakeups,2
w3_dual_execute_random_tests,random_loads,1258
w3_dual_execute_random_tests,random_stores,1276
w3_dual_execute_random_tests,ldq_full_cycles,35
w3_dual_execute_random_tests,stq_full_cycles,26
w3_dual_execute_random_tests,ldq_drains,590
w3_dual_execute_random_tests,stq_drains,712
w3_dual_execute_random_tests,load_requests,720
w3_dual_execute_random_tests,load_responses,657
w3_dual_execute_random_tests,load_response_delay_cycles,3621
w3_dual_execute_random_tests,stale_responses,819
w3_dual_execute_random_tests,stale_completion_allocation_ids,100
w3_dual_execute_random_tests,branch_resolves,568
w3_dual_execute_random_tests,branch_mispredicts,310
w3_dual_execute_random_tests,branch_killed_tokens,455
w3_dual_execute_random_tests,resets,100
w3_dual_execute_random_tests,reset_killed_tokens,1626
w3_dual_execute_random_tests,trace_backpressure_cycles,1735
w3_dual_execute_random_tests,dmem_backpressure_cycles,2026
w3_dual_execute_random_tests,committed_tokens,2795
w3_dual_execute_random_tests,consumed_tokens,2795
w3_dual_execute_random_tests,killed_tokens,2081
w3_dual_execute_random_tests,lane_ready_mask_00,1617
w3_dual_execute_random_tests,lane_ready_mask_01,1628
w3_dual_execute_random_tests,lane_ready_mask_10,1521
w3_dual_execute_random_tests,lane_ready_mask_11,3310
w3_dual_execute_random_tests,completion_free_mask_00,0
w3_dual_execute_random_tests,completion_free_mask_01,0
w3_dual_execute_random_tests,completion_free_mask_10,13
w3_dual_execute_random_tests,completion_free_mask_11,8063
w3_dual_execute_random_tests,dropped_tokens,0
w3_dual_execute_random_tests,duplicate_tokens,0
w2_dual_grant_random_tests,random_seeds,64
w2_dual_grant_random_tests,cycles_per_seed,32
w2_dual_grant_random_tests,total_random_cycles,2048
w2_dual_grant_random_tests,class_int,401
w2_dual_grant_random_tests,class_mem,430
w2_dual_grant_random_tests,class_unsupported,456
w2_dual_grant_random_tests,branch_resolves,1024
w2_dual_grant_random_tests,branch_mispredicts,526
w2_dual_grant_random_tests,branch_kills,456
w2_dual_grant_random_tests,dispatch_total,1036
w2_dual_grant_random_tests,dispatch_bypass,130
w2_dual_grant_random_tests,dispatch_enqueue,834
w2_dual_grant_random_tests,port_ready_mask_00,550
w2_dual_grant_random_tests,port_ready_mask_01,508
w2_dual_grant_random_tests,port_ready_mask_10,498
w2_dual_grant_random_tests,port_ready_mask_11,492
w2_dual_grant_random_tests,dual_grants,118
w2_dual_grant_random_tests,accepted_grants,511
w2_dual_grant_random_tests,retained_grants,542
w2_dual_grant_random_tests,dropped_grants,0
branch_snapshot_random_tests,random_seed_runs,21
branch_snapshot_random_tests,passed_checks,42
