item,w4a,w4b,status
fetch_width,4,4,UNCHANGED
decode_width,1,1,UNCHANGED
dispatch_width,1,1,UNCHANGED
issue_width,3,3,UNCHANGED
commit_width,1,1,UNCHANGED
rob_depth,32,32,UNCHANGED
rob_index_bits,5,5,UNCHANGED
integer_physical_registers,52,52,UNCHANGED
physical_register_bits,6,6,UNCHANGED
alu_issue_queue_depth,8,8,UNCHANGED
issue_queue_index_bits,3,3,UNCHANGED
ldq_depth,8,8,UNCHANGED
stq_depth,8,8,UNCHANGED
branch_count,8,8,UNCHANGED
ftq_depth,16,16,UNCHANGED
physical_address_bits,32,32,UNCHANGED
virtual_address_bits,39,39,UNCHANGED
rob_general_complete_ports,4,4,UNCHANGED
completion_pending_slots,0,3,W4B_FIXED_CAPACITY
