case,cpp_status,generated_rtl_status,evidence
dual_write,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
conflict_fault,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
branch_fence,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
deferred_wakeup_write,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
third_writer_retention,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
retention_drain,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
correct_branch_cross_boundary_conflict,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
fault_suppresses_unrelated_younger,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
mispredict_killed_non_conflict,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
persistent_exception_publication_fence,PASS,PASS,tb/differential/w4d_rtl_oracle_tests.cpp;rtl_tb/gate4_0/w4d_writeback_oracle_tb.sv
