instruction,opcode,funct7,funct3,uopc,fu,word,decode_status,execution_status
MUL,0x33,0x01,0,16,FU_MUL,0,VERIFIED,PRE_M1_PLACEHOLDER_ONLY
MULH,0x33,0x01,1,17,FU_MUL,0,VERIFIED,NOT_IMPLEMENTED
MULHSU,0x33,0x01,2,18,FU_MUL,0,VERIFIED,NOT_IMPLEMENTED
MULHU,0x33,0x01,3,19,FU_MUL,0,VERIFIED,NOT_IMPLEMENTED
DIV,0x33,0x01,4,21,FU_DIV,0,VERIFIED,NOT_IMPLEMENTED
DIVU,0x33,0x01,5,22,FU_DIV,0,VERIFIED,NOT_IMPLEMENTED
REM,0x33,0x01,6,23,FU_DIV,0,VERIFIED,NOT_IMPLEMENTED
REMU,0x33,0x01,7,24,FU_DIV,0,VERIFIED,NOT_IMPLEMENTED
MULW,0x3b,0x01,0,20,FU_MUL,1,VERIFIED,NOT_IMPLEMENTED
DIVW,0x3b,0x01,4,25,FU_DIV,1,VERIFIED,NOT_IMPLEMENTED
DIVUW,0x3b,0x01,5,26,FU_DIV,1,VERIFIED,NOT_IMPLEMENTED
REMW,0x3b,0x01,6,27,FU_DIV,1,VERIFIED,NOT_IMPLEMENTED
REMUW,0x3b,0x01,7,28,FU_DIV,1,VERIFIED,NOT_IMPLEMENTED
