instruction,opcode,funct7,funct3,rd,rs1,rs2,machine_code,expected_uopc,expected_fu,expected_status
MUL,0x33,0x01,0,5,6,7,0x027302b3,16,FU_MUL,LEGAL
MULH,0x33,0x01,1,5,6,7,0x027312b3,17,FU_MUL,LEGAL
MULHSU,0x33,0x01,2,5,6,7,0x027322b3,18,FU_MUL,LEGAL
MULHU,0x33,0x01,3,5,6,7,0x027332b3,19,FU_MUL,LEGAL
DIV,0x33,0x01,4,5,6,7,0x027342b3,21,FU_DIV,LEGAL
DIVU,0x33,0x01,5,5,6,7,0x027352b3,22,FU_DIV,LEGAL
REM,0x33,0x01,6,5,6,7,0x027362b3,23,FU_DIV,LEGAL
REMU,0x33,0x01,7,5,6,7,0x027372b3,24,FU_DIV,LEGAL
MULW,0x3b,0x01,0,5,6,7,0x027302bb,20,FU_MUL,LEGAL
DIVW,0x3b,0x01,4,5,6,7,0x027342bb,25,FU_DIV,LEGAL
DIVUW,0x3b,0x01,5,5,6,7,0x027352bb,26,FU_DIV,LEGAL
REMW,0x3b,0x01,6,5,6,7,0x027362bb,27,FU_DIV,LEGAL
REMUW,0x3b,0x01,7,5,6,7,0x027372bb,28,FU_DIV,LEGAL
OP_F7_02_F3_000,0x33,0x02,0,5,6,7,0x047302b3,255,FU_ALU,ILLEGAL
OP_F7_20_F3_001,0x33,0x20,1,5,6,7,0x407312b3,255,FU_ALU,ILLEGAL
OP_F7_7F_F3_100,0x33,0x7f,4,5,6,7,0xfe7342b3,255,FU_ALU,ILLEGAL
OP32_M_RESERVED_001,0x3b,0x01,1,5,6,7,0x027312bb,255,FU_ALU,ILLEGAL
OP32_M_RESERVED_010,0x3b,0x01,2,5,6,7,0x027322bb,255,FU_ALU,ILLEGAL
OP32_M_RESERVED_011,0x3b,0x01,3,5,6,7,0x027332bb,255,FU_ALU,ILLEGAL
OP32_F7_02_F3_000,0x3b,0x02,0,5,6,7,0x047302bb,255,FU_ALU,ILLEGAL
OP32_F7_20_F3_100,0x3b,0x20,4,5,6,7,0x407342bb,255,FU_ALU,ILLEGAL
OP_INVALID_ALU_F7,0x33,0x20,6,5,6,7,0x407362b3,255,FU_ALU,ILLEGAL
OP32_INVALID_ALU_F7,0x3b,0x7f,5,5,6,7,0xfe7352bb,255,FU_ALU,ILLEGAL
