trace,status,reference
branch_not_taken_hls_cpp_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
branch_not_taken_hls_csim_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
branch_taken_hls_cpp_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
branch_taken_hls_csim_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
independent_alu_hls_cpp_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
independent_alu_hls_csim_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
load_store_hls_cpp_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
load_store_hls_csim_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
nested_branch_hls_cpp_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
nested_branch_hls_csim_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
raw_chain_hls_cpp_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
raw_chain_hls_csim_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
tohost_hls_cpp_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
tohost_hls_csim_full.jsonl,PASS,reports/gate4_0/w4/regression/w4e/product_full/hls_traces
