program,scenario,status,rtl_cycles,commit_count,divider_commit_count,first_expected_commit_cycle,last_expected_commit_cycle,divider_commit_cycles,architectural_value_source,writeback_observation,expected_registers,tohost_status,log,trace
div,N0_NORMAL_INDEPENDENT_ALU,PASS,75933,12,1,70263,71205,70263,commit_trace,not_exposed_by_gate3_9_harness,x3=0xfffffffffffffff2;x4=0xfffffffffffffff3,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/div.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/div.jsonl
divu,N0_NORMAL_INDEPENDENT_ALU,PASS,75933,12,1,70263,71205,70263,commit_trace,not_exposed_by_gate3_9_harness,x3=0x1999999999999999;x4=0x199999999999999a,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/divu.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/divu.jsonl
rem,N0_NORMAL_INDEPENDENT_ALU,PASS,75933,12,1,70263,71205,70263,commit_trace,not_exposed_by_gate3_9_harness,x3=0xfffffffffffffffe;x4=0xffffffffffffffff,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/rem.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/rem.jsonl
remu,N0_NORMAL_INDEPENDENT_ALU,PASS,75933,12,1,70263,71205,70263,commit_trace,not_exposed_by_gate3_9_harness,x3=0x0000000000000005;x4=0x0000000000000006,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/remu.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/remu.jsonl
word_div_rem_mix,N0_NORMAL_INDEPENDENT_ALU,PASS,151740,20,4,44951,147026,44951;80976;115429;147026,commit_trace,not_exposed_by_gate3_9_harness,x3=0xffffffffd5555556;x4=0x000000002aaaaaaa;x5=0xfffffffffffffffe;x6=0x0000000000000002,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/word_div_rem_mix.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/word_div_rem_mix.jsonl
divide_by_zero,N0_NORMAL_INDEPENDENT_ALU,PASS,27195,14,4,14488,19570,14488;16159;17921;19570,commit_trace,not_exposed_by_gate3_9_harness,x3=0xffffffffffffffff;x4=0x000000000000007b;x5=0xffffffffffffffff;x6=0x000000000000007b,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/divide_by_zero.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/divide_by_zero.jsonl
divide_overflow,N0_NORMAL_INDEPENDENT_ALU,PASS,30555,16,4,16227,22934,16227;17859;21285;22934,commit_trace,not_exposed_by_gate3_9_harness,x3=0x8000000000000000;x4=0x0000000000000000;x6=0xffffffff80000000;x7=0x0000000000000000,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/divide_overflow.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/divide_overflow.jsonl
divide_dependency,N0_NORMAL_INDEPENDENT_ALU,PASS,203678,17,3,75683,199010,75683;138948;198095,commit_trace,not_exposed_by_gate3_9_harness,x3=0x000000000000000e;x5=0x0000000000000007;x6=0x0000000000000002;x7=0x0000000000000008,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/divide_dependency.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/divide_dependency.jsonl
divide_load_mix,N0_NORMAL_INDEPENDENT_ALU,PASS,143611,18,2,4116,79844,79844;138897,commit_trace,not_exposed_by_gate3_9_harness,x2=0x0000000000000064;x4=0x000000000000000b;x5=0x0000000000000001,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/divide_load_mix.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/divide_load_mix.jsonl
divide_branch_kill,N0_NORMAL_INDEPENDENT_ALU,PASS,83884,16,1,78137,79160,78137,commit_trace,not_exposed_by_gate3_9_harness,x4=0x000000000000000e;x5=0x000000000000000f,PASS,reports/gate4_1/m3/m3b/full_core_rtl/logs/divide_branch_kill.log,reports/gate4_1/m3/m3b/full_core_rtl/traces/divide_branch_kill.jsonl
