top,metric,m2c,m3b,delta
synth_execute_top,lut,2654,6773,4119
synth_execute_top,ff,770,916,146
synth_execute_top,bram,8,8,0
synth_execute_top,dsp,3,3,0
synth_execute_top,estimated_period_ns,5.430,6.411,0.981
synth_core_step_top,lut,107783,116249,8466
synth_core_step_top,ff,25509,26408,899
synth_core_step_top,bram,16,16,0
synth_core_step_top,dsp,3,3,0
synth_core_step_top,estimated_period_ns,6.341,6.341,0.000
boom_core_top,lut,114712,123520,8808
boom_core_top,ff,25916,26815,899
boom_core_top,bram,16,16,0
boom_core_top,dsp,3,3,0
boom_core_top,estimated_period_ns,6.341,6.341,0.000
