requirement,status,result,evidence,sha256
m3c_directed,PASS,1458/1458,reports/gate4_1/m3/m3c/logs/rv64m_full_tests.log,8b2854871f63af68bd0f3b16311437fce98cccb460d3006e7a44998171e35edb
m3c_random,PASS,256x2048,reports/gate4_1/m3/m3c/logs/rv64m_full_random_tests.log,378846ae71dc6e1da503030e3b2d0d1e125f787c135bfc77f7b13b39a7075290
native_full_core,PASS,15/15,reports/gate4_1/m3/m3c/logs/rv64m_full_core_tests.log,4149df2aa8f50a3cbac61c2953c6c8896c2b76ecb82cdb2f8f4e5037c7ab9e08
vitis_csim_full_core,PASS,15/15,reports/gate4_1/m3/m3c/csim/vitis_csim.log,a32ed50e9f322a89fc28ef6f1f089e0aa2b17f3f48edd8ba1e811064f1585392
m3c_focused_rtl,PASS,30/30,reports/gate4_1/m3/m3c/rtl/rtl_test_matrix.csv,e80356be8ee995bc1b236ae071daa2aeee20ffee18e8cb9bc0df10fc2f55c2d3
m3c_full_core_rtl,PASS,15/15,reports/gate4_1/m3/m3c/full_core_rtl/full_core_rtl_matrix.csv,e2a70c90cc8b3120bf42e5f306d70bafee9cc670738f566085a86d1858fdfc38
gate3_9_rtl,PASS,49/49,reports/gate4_1/m3/m3c/reset_rtl_49/rtl_test_matrix.csv,139b6a355e79e1982b0b67a0fd49ef1fe0973e60f6a046a936a261ab3d22fcd5
w3_software,PASS,400/400,reports/gate4_1/m3/m3c/regression/w4e/regression_after.md,5c201dc2217dfe157b3c73fb175a85775a22ccf8ac3048159dfd629e7671fea7
w3_focused_rtl,PASS,11/11,reports/gate4_1/m3/m3c/rtl/w4/w3_current/rtl_test_matrix.csv,8eb7d532e8a7bb71761348189bb7a05849278ca2565017dbf3c35cdc144f7748
w4_directed_random,PASS,95/95+128/128,reports/gate4_1/m3/m3c/regression/w4e/regression_after.md,5c201dc2217dfe157b3c73fb175a85775a22ccf8ac3048159dfd629e7671fea7
w4_focused_rtl,PASS,20/20,reports/gate4_1/m3/m3c/rtl/w4/rtl_test_matrix.csv,2493a0902b03d71ba9243ac64c629ee5e54417ed847e816cc87762d48693a03b
canonical_csynth,PASS,8/8,reports/gate4_1/m3/m3c/resource_summary.csv,1c2c14c94d4eadf57c40db7591a9f10969387dcafc8695e51f001089ed5150ed
ppa_guardrail,PASS,PASS,reports/gate4_1/m3/m3c/ppa_status.txt,22274d6afe1ef264eaea5bc1c770d6b4520679365e94bc689e9f49540d9684f3
independent_review,PASS,PASS,reports/gate4_1/m3/m3c/independent_read_only_review.md,5e01860c576ad68dc030201a5a058a20c10bbe7ededc6934e50bbe764a8f8c1a
scope_guardrails,PASS,PASS,reports/gate4_1/m3/m3c/protection_audit.md,05d9b821d4e04c20a4eafbd774bcca2c31cdc028790b6158043925ee9ed62312
