program,scenario,status,rtl_cycles,commit_count,divider_commit_count,first_expected_commit_cycle,last_expected_commit_cycle,divider_commit_cycles,architectural_value_source,writeback_observation,expected_registers,tohost_status,log,trace
div,N0_NORMAL_INDEPENDENT_ALU,PASS,76184,12,1,70488,71456,70488,commit_trace,not_exposed_by_gate3_9_harness,x3=0xfffffffffffffff2;x4=0xfffffffffffffff3,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/div.log,reports/gate4_1/m3/m3c/fix_probe/traces/div.jsonl
divu,N0_NORMAL_INDEPENDENT_ALU,PASS,76184,12,1,70488,71456,70488,commit_trace,not_exposed_by_gate3_9_harness,x3=0x1999999999999999;x4=0x199999999999999a,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/divu.log,reports/gate4_1/m3/m3c/fix_probe/traces/divu.jsonl
rem,N0_NORMAL_INDEPENDENT_ALU,PASS,76184,12,1,70488,71456,70488,commit_trace,not_exposed_by_gate3_9_harness,x3=0xfffffffffffffffe;x4=0xffffffffffffffff,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/rem.log,reports/gate4_1/m3/m3c/fix_probe/traces/rem.jsonl
remu,N0_NORMAL_INDEPENDENT_ALU,PASS,76184,12,1,70488,71456,70488,commit_trace,not_exposed_by_gate3_9_harness,x3=0x0000000000000005;x4=0x0000000000000006,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/remu.log,reports/gate4_1/m3/m3c/fix_probe/traces/remu.jsonl
word_div_rem_mix,N0_NORMAL_INDEPENDENT_ALU,PASS,152315,20,4,45087,147601,45087;81369;115922;147601,commit_trace,not_exposed_by_gate3_9_harness,x3=0xffffffffd5555556;x4=0x000000002aaaaaaa;x5=0xfffffffffffffffe;x6=0x0000000000000002,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/word_div_rem_mix.log,reports/gate4_1/m3/m3c/fix_probe/traces/word_div_rem_mix.jsonl
divide_by_zero,N0_NORMAL_INDEPENDENT_ALU,PASS,27482,14,4,14608,19762,14608;16303;18089;19762,commit_trace,not_exposed_by_gate3_9_harness,x3=0xffffffffffffffff;x4=0x000000000000007b;x5=0xffffffffffffffff;x6=0x000000000000007b,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/divide_by_zero.log,reports/gate4_1/m3/m3c/fix_probe/traces/divide_by_zero.jsonl
divide_overflow,N0_NORMAL_INDEPENDENT_ALU,PASS,30890,16,4,16371,23174,16371;18027;21501;23174,commit_trace,not_exposed_by_gate3_9_harness,x3=0x8000000000000000;x4=0x0000000000000000;x6=0xffffffff80000000;x7=0x0000000000000000,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/divide_overflow.log,reports/gate4_1/m3/m3c/fix_probe/traces/divide_overflow.jsonl
divide_dependency,N0_NORMAL_INDEPENDENT_ALU,PASS,204113,17,3,75972,199445,75972;139269;198530,commit_trace,not_exposed_by_gate3_9_harness,x3=0x000000000000000e;x5=0x0000000000000007;x6=0x0000000000000002;x7=0x0000000000000008,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/divide_dependency.log,reports/gate4_1/m3/m3c/fix_probe/traces/divide_dependency.jsonl
divide_load_mix,N0_NORMAL_INDEPENDENT_ALU,PASS,144008,18,2,4140,80159,80159;139294,commit_trace,not_exposed_by_gate3_9_harness,x2=0x0000000000000064;x4=0x000000000000000b;x5=0x0000000000000001,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/divide_load_mix.log,reports/gate4_1/m3/m3c/fix_probe/traces/divide_load_mix.jsonl
divide_branch_kill,N0_NORMAL_INDEPENDENT_ALU,PASS,84206,16,1,78433,79482,78433,commit_trace,not_exposed_by_gate3_9_harness,x4=0x000000000000000e;x5=0x000000000000000f,PASS,reports/gate4_1/m3/m3c/fix_probe/logs/divide_branch_kill.log,reports/gate4_1/m3/m3c/fix_probe/traces/divide_branch_kill.jsonl
