status,value,evidence
M1_RV64M_DECODE_VERIFIED,true,reports/gate4_1/m1/m1_results.md
M2_MUL_FAMILY_VERIFIED,true,reports/gate4_1/m2/m2c/m2c_results.md
M3A_STANDALONE_DIVIDER_VERIFIED,true,reports/gate4_1/m3/m3a/m3a_results.md
M3B_INT_DIVIDER_INTEGRATION_VERIFIED,true,reports/gate4_1/m3/m3b/m3b_results.md
READY_FOR_M3C_RV64M_FINAL,true,reports/gate4_1/m3/m3b/m3b_results.md
GATE4_1_RV64M_VERIFIED,true,reports/gate4_1/m3/m3c/m3c_results.md
M3B_PPA_BLOCKER,false,reports/gate4_1/m3/m3c/ppa_status.txt
CORE_CYCLE_PIPELINED,no,reports/gate4_1/m3/m3c/resource_summary.csv
READY_FOR_FRONTEND_IMPLEMENTATION,false,reports/gate4_1/m3/m3c/protection_audit.md
READY_FOR_FULL_LSU_IMPLEMENTATION,false,reports/gate4_1/m3/m3c/protection_audit.md
READY_FOR_OFFICIAL_GATE_3,false,reports/gate4_1/m3/m3c/protection_audit.md
M009,PARTIALLY_VERIFIED,docs/mismatch_list.csv
M014,VERIFIED,docs/mismatch_list.csv
