instruction,uopc,fu,decode,execute,completion,word
MUL,16,FU_MUL,VERIFIED,PLACEHOLDER_INCOMPLETE,W4_INT_PATH_AVAILABLE,0
MULH,17,FU_MUL,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,0
MULHSU,18,FU_MUL,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,0
MULHU,19,FU_MUL,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,0
MULW,20,FU_MUL,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,1
DIV,21,FU_DIV,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,0
DIVU,22,FU_DIV,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,0
REM,23,FU_DIV,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,0
REMU,24,FU_DIV,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,0
DIVW,25,FU_DIV,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,1
DIVUW,26,FU_DIV,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,1
REMW,27,FU_DIV,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,1
REMUW,28,FU_DIV,VERIFIED,NOT_IMPLEMENTED,W4_INT_PATH_AVAILABLE,1
