cycle,frontend_pc,imem_req_valid,imem_req_ready,imem_req_fire,request_addr,request_fetch_id,request_epoch,outstanding_valid,response_valid,response_ready,response_fire,response_match_id,response_match_epoch,response_match_addr,decode_hold_valid,decode_ready,decode_fire,rename_fire,dispatch_fire,rob_allocate,rob_count,rob_head,rob_tail,commit_valid,redirect_valid,flush_valid,stale_response,reason_no_request
0,65600,1,1,1,65600,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,none
1,65604,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,held_entry
2,65604,1,1,1,65604,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,none
3,65608,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,1,0,0,0,held_entry
4,65608,1,1,1,65608,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,none
5,65612,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,2,3,1,0,0,0,held_entry
6,65612,1,1,1,65612,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,1,0,0,0,none
7,65616,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,3,4,1,0,0,0,held_entry
8,65616,1,1,1,65616,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,1,0,0,0,none
9,65620,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,4,5,1,0,0,0,held_entry
10,65620,1,1,1,65620,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,5,1,0,0,0,none
11,65624,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,5,6,1,0,0,0,held_entry
12,65624,1,1,1,65624,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6,6,1,0,0,0,none
13,65628,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,6,7,1,0,0,0,held_entry
14,65628,1,1,1,65628,7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7,7,1,0,0,0,none
15,65632,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,7,8,1,0,0,0,held_entry
16,65632,1,1,1,65632,8,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,8,8,1,0,0,0,none
17,65636,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,8,9,1,0,0,0,held_entry
18,65636,1,1,1,65636,9,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,9,9,1,0,0,0,none
19,65640,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,9,10,1,0,0,0,held_entry
20,65640,1,1,1,65640,10,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,10,10,1,0,0,0,none
21,65644,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,10,11,1,0,0,0,held_entry
22,65644,1,1,1,65644,11,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,11,11,1,0,0,0,none
23,65648,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,11,12,1,0,0,0,held_entry
24,65648,1,1,1,65648,12,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,12,12,1,0,0,0,none
25,65652,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,12,13,1,0,0,0,held_entry
26,65652,1,1,1,65652,13,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,13,13,1,0,0,0,none
27,65656,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,13,14,1,0,0,0,held_entry
28,65656,1,1,1,65656,14,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,14,14,1,0,0,0,none
29,65660,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,14,15,1,0,0,0,held_entry
30,65660,1,1,1,65660,15,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,15,15,1,0,0,0,none
31,65664,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,15,16,1,0,0,0,held_entry
32,65664,1,1,1,65664,16,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,16,16,1,0,0,0,none
33,65668,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,16,17,1,0,0,0,held_entry
34,65668,1,1,1,65668,17,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,17,17,1,0,0,0,none
35,65672,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,17,18,1,0,0,0,held_entry
36,65672,1,1,1,65672,18,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,18,18,1,0,0,0,none
37,65676,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,18,19,1,0,0,0,held_entry
38,65676,1,1,1,65676,19,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,19,19,1,0,0,0,none
39,65680,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,19,20,1,0,0,0,held_entry
40,65680,1,1,1,65680,20,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,20,20,1,0,0,0,none
41,65684,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,20,21,1,0,0,0,held_entry
42,65684,1,1,1,65684,21,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,21,21,1,0,0,0,none
43,65688,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,21,22,1,0,0,0,held_entry
44,65688,1,1,1,65688,22,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,22,22,1,0,0,0,none
45,65692,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,22,23,1,0,0,0,held_entry
46,65692,1,1,1,65692,23,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,23,23,1,0,0,0,none
47,65696,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,23,24,1,0,0,0,held_entry
48,65696,1,1,1,65696,24,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,24,24,1,0,0,0,none
49,65700,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,24,25,1,0,0,0,held_entry
50,65700,1,1,1,65700,25,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,25,25,1,0,0,0,none
51,65704,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,25,26,1,0,0,0,held_entry
52,65704,1,1,1,65704,26,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,26,26,1,0,0,0,none
53,65708,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,26,27,1,0,0,0,held_entry
54,65708,1,1,1,65708,27,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,27,27,1,0,0,0,none
55,65712,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,27,28,1,0,0,0,held_entry
56,65712,1,1,1,65712,28,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,28,28,1,0,0,0,none
57,65716,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,28,29,1,0,0,0,held_entry
58,65716,1,1,1,65716,29,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,29,29,1,0,0,0,none
59,65720,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,29,30,1,0,0,0,held_entry
60,65720,1,1,1,65720,30,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,30,30,1,0,0,0,none
61,65724,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,30,31,1,0,0,0,held_entry
62,65724,1,1,1,65724,31,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,31,31,1,0,0,0,none
63,65728,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,31,0,1,0,0,0,held_entry
64,65728,1,1,1,65728,32,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,none
65,65732,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,held_entry
66,65732,1,1,1,65732,33,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,none
67,65736,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,1,0,0,0,held_entry
68,65736,1,1,1,65736,34,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,none
69,65740,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,2,3,1,0,0,0,held_entry
70,65740,1,1,1,65740,35,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,1,0,0,0,none
71,65744,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,3,4,1,0,0,0,held_entry
72,65744,1,1,1,65744,36,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,1,0,0,0,none
73,65748,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,4,5,1,0,0,0,held_entry
74,65748,1,1,1,65748,37,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,5,1,0,0,0,none
75,65752,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,5,6,1,0,0,0,held_entry
76,65752,1,1,1,65752,38,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6,6,1,0,0,0,none
