requirement,input_ports,output_ports,canonical_source
request_identity,imem_req_out_full_n,imem_req_out_din,outstanding Frontend state
response_identity,imem_resp_in_dout/imem_resp_in_empty_n,imem_resp_in_read/accepted_response_pulse/stale_response_pulse,frontend_module triple match
runtime_reset,runtime_reset,frontend_pc/frontend_epoch/outstanding_valid/held_entry_valid,frontend_module reset_done path
decode_backpressure,decode_ready,decode_valid/decode_pc/decode_instruction,frontend_module plus decode_module
fault,imem_resp exception/cause,decode_fault/decode_fault_cause,frontend_module plus decode_module
architectural_redirect,architectural_redirect_valid/target/cause/rob_idx/allocation_id,redirect_accepted_pulse/frontend_pc,frontend_module priority
branch_redirect,branch_redirect_valid/target,redirect_accepted_pulse/frontend_pc,frontend_module priority
generic_flush,generic_flush_valid/target,redirect_accepted_pulse/frontend_pc,frontend_module generic flush
ownership,owner_live/owner_allocation_id,ownership_rejection_pulse,architectural_redirect_owner_valid
misalignment,redirect targets,misalignment_fault_pulse/decode_fault/decode_pc,frontend_module target fault
holding,decode_ready/response stream,held_entry_valid/decode payload,Frontend holding state
