cycle,frontend_pc,imem_req_valid,imem_req_ready,imem_req_fire,request_addr,request_fetch_id,request_epoch,outstanding_valid,response_valid,response_ready,response_fire,response_match_id,response_match_epoch,response_match_addr,decode_hold_valid,decode_ready,decode_fire,rename_fire,dispatch_fire,rob_allocate,rob_count,rob_head,rob_tail,commit_valid,redirect_valid,flush_valid,stale_response,reason_no_request
0,65600,1,1,1,65600,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,none
1,65604,1,1,1,65604,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,none
2,65608,1,1,1,65608,2,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,2,1,0,0,1,none
3,65612,1,1,1,65612,3,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,2,3,1,0,0,1,none
4,65616,1,1,1,65616,4,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,3,4,1,0,0,1,none
5,65620,1,1,1,65620,5,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,4,5,1,0,0,1,none
6,65624,1,1,1,65624,6,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,5,6,1,0,0,1,none
7,65628,1,1,1,65628,7,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,6,7,1,0,0,1,none
8,65632,1,1,1,65632,8,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,7,8,1,0,0,1,none
9,65636,1,1,1,65636,9,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,8,9,1,0,0,1,none
10,65640,1,1,1,65640,10,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,9,10,1,0,0,1,none
11,65644,1,1,1,65644,11,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,10,11,1,0,0,1,none
12,65648,1,1,1,65648,12,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,11,12,1,0,0,1,none
13,65652,1,1,1,65652,13,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,12,13,1,0,0,1,none
14,65656,1,1,1,65656,14,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,13,14,1,0,0,1,none
15,65660,1,1,1,65660,15,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,14,15,1,0,0,1,none
16,65664,1,1,1,65664,16,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,15,16,1,0,0,1,none
17,65668,1,1,1,65668,17,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,16,17,1,0,0,1,none
18,65672,1,1,1,65672,18,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,17,18,1,0,0,1,none
19,65676,1,1,1,65676,19,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,18,19,1,0,0,1,none
20,65680,1,1,1,65680,20,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,19,20,1,0,0,1,none
21,65684,1,1,1,65684,21,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,20,21,1,0,0,1,none
22,65688,1,1,1,65688,22,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,21,22,1,0,0,1,none
23,65692,1,1,1,65692,23,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,22,23,1,0,0,1,none
24,65696,1,1,1,65696,24,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,23,24,1,0,0,1,none
25,65700,1,1,1,65700,25,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,24,25,1,0,0,1,none
26,65704,1,1,1,65704,26,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,25,26,1,0,0,1,none
27,65708,1,1,1,65708,27,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,26,27,1,0,0,1,none
28,65712,1,1,1,65712,28,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,27,28,1,0,0,1,none
29,65716,1,1,1,65716,29,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,28,29,1,0,0,1,none
30,65720,1,1,1,65720,30,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,29,30,1,0,0,1,none
31,65724,1,1,1,65724,31,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,30,31,1,0,0,1,none
32,65728,1,1,1,65728,32,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,31,0,1,0,0,1,none
33,65732,1,1,1,65732,33,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,none
34,65736,1,1,1,65736,34,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,2,1,0,0,1,none
35,65740,1,1,1,65740,35,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,2,3,1,0,0,1,none
36,65744,1,1,1,65744,36,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,3,4,1,0,0,1,none
37,65748,1,1,1,65748,37,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,4,5,1,0,0,1,none
38,65752,1,1,1,65752,38,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,5,6,1,0,0,1,none
39,65756,1,1,1,65756,39,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,6,7,1,0,0,1,none
40,65760,1,1,1,65760,40,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,7,8,1,0,0,1,none
41,65764,1,1,1,65764,41,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,8,9,1,0,0,1,none
42,65768,1,1,1,65768,42,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,9,10,1,0,0,1,none
43,65772,1,1,1,65772,43,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,10,11,1,0,0,1,none
44,65776,1,1,1,65776,44,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,11,12,1,0,0,1,none
45,65780,1,1,1,65780,45,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,12,13,1,0,0,1,none
46,65784,1,1,1,65784,46,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,13,14,1,0,0,1,none
47,65788,1,1,1,65788,47,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,14,15,1,0,0,1,none
48,65792,1,1,1,65792,48,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,15,16,1,0,0,1,none
49,65796,1,1,1,65796,49,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,16,17,1,0,0,1,none
50,65800,1,1,1,65800,50,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,17,18,1,0,0,1,none
51,65804,1,1,1,65804,51,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,18,19,1,0,0,1,none
52,65808,1,1,1,65808,52,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,19,20,1,0,0,1,none
53,65812,1,1,1,65812,53,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,20,21,1,0,0,1,none
54,65816,1,1,1,65816,54,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,21,22,1,0,0,1,none
55,65820,1,1,1,65820,55,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,22,23,1,0,0,1,none
56,65824,1,1,1,65824,56,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,23,24,1,0,0,1,none
57,65828,1,1,1,65828,57,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,24,25,1,0,0,1,none
58,65832,1,1,1,65832,58,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,25,26,1,0,0,1,none
59,65836,1,1,1,65836,59,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,26,27,1,0,0,1,none
60,65840,1,1,1,65840,60,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,27,28,1,0,0,1,none
61,65844,1,1,1,65844,61,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,28,29,1,0,0,1,none
62,65848,1,1,1,65848,62,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,29,30,1,0,0,1,none
63,65852,1,1,1,65852,63,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,30,31,1,0,0,1,none
64,65856,1,1,1,65856,64,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,31,0,1,0,0,1,none
65,65860,1,1,1,65860,65,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,none
66,65864,1,1,1,65864,66,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,2,1,0,0,1,none
67,65868,1,1,1,65868,67,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,2,3,1,0,0,1,none
68,65872,1,1,1,65872,68,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,3,4,1,0,0,1,none
69,65876,1,1,1,65876,69,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,4,5,1,0,0,1,none
70,65880,1,1,1,65880,70,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,5,6,1,0,0,1,none
71,65884,1,1,1,65884,71,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,6,7,1,0,0,1,none
72,65888,1,1,1,65888,72,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,7,8,1,0,0,1,none
73,65892,1,1,1,65892,73,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,8,9,1,0,0,1,none
74,65896,1,1,1,65896,74,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,9,10,1,0,0,1,none
75,65900,1,1,1,65900,75,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,10,11,1,0,0,1,none
76,65904,1,1,1,65904,76,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,11,12,1,0,0,1,none
