artifact,role,status,sha256
src/frontend.cpp,canonical Frontend source,PASS,c68213792e8a0f4533c3b7440c3f712e7f8246df2d7dd778888b79e131107ac2
src/boom_core_merged.cpp,generated merged binding,PASS,426d3c36fb50ba529e73607605a75424dfc5c56dd92a83bf9776e966611489b3
src/synth_module_tops.cpp,verification wrapper source,PASS,75f21132fb1ab99533b5d42c04b36a53f57e9ac7092bb56abad57f714e2214e0
rtl_tb/frontend_verify_rtl_tb.sv,verification wrapper RTL testbench,PASS,c43bc2bb70f7c0c92c9b20c0a368cdf28631010d98f484a82b497d1fe77d198d
scripts/gate5_1/run_frontend_verify_rtl.sh,verification wrapper RTL runner,PASS,7b1cd95c6187e125d5cd2c5128518f1237efc9ed1095c142792005d19d45abf2
reports/gate5_1_frontend/repair/r2/logs/xsim.log,focused Frontend RTL run,PASS,a0ee06eb282c90e005f07c48f2297bd627ed7f5d14d5a52d7dec8a6c99ad7bf3
rtl_tb/axis_imem_model.sv,epoch-aware IMEM model,PASS,801d14e9cb35f568b28162750ec7a3ecab98f02b09063b8a1702d9be2a7556ac
rtl_tb/boom_core_rtl_harness.sv,epoch-aware common harness,PASS,a62d7ba3e5c6d182d57bf38e1c935dfe26cc75113821eeb42194878e38848722
rtl_tb/gate3_9/boom_core_rtl_harness.sv,epoch-aware Gate 3.9 harness,PASS,12ec66d8b250151d0552a68f29917f2ff35827fc958a255837faa3929eff4594
reports/gate5_1_frontend/repair/r2/rtl_test_matrix.csv,focused Frontend RTL 33/33,PASS,09e1d88ae3df60a61ff776d87ea4234f7ae973c5be40fc9ea82a1dfc1b197191
reports/gate5_1_frontend/repair/r3/w3/suite_results.csv,W3 400/400,PASS,29175f8e1f034f40d8ff0977539f9238fdb572e66641f4a33b37205439d1c0c4
reports/gate5_1_frontend/repair/r3/w3/trace_comparison.csv,normalized traces 7/7,PASS,9de30512e37e4433087b554e2329761f19ec9e1a2c5c85073b0175482aec54f8
reports/gate5_1_frontend/repair/r3/w3/full_program_architectural_diff.csv,full-program 10/10,PASS,817cabd258da76924983dcbf7107ff9ec3f75eea8b7c4768947de0ba7a601454
reports/gate5_1_frontend/repair/r4/m3c_rtl/rtl_test_matrix.csv,M3C focused RTL 30/30,PASS,2535cc6c5aafc83918ad2544424b674639fd9f6af8c13bd8ab5a6a1839519605
reports/gate5_1_frontend/repair/r4/w4_rtl_final/rtl_test_matrix.csv,W4 focused RTL 20/20,PASS,b3fe59ade92c1fd0bb8e59198c0c69e8df0151ca792befb60565d4aec3756212
reports/gate5_1_frontend/repair/r4/gate3_9/rtl_test_matrix.csv,Gate 3.9 generated RTL 49/49,PASS,34f4244e8ac18edc9199b459f73de053cddd1f7cbcbc02814939462a324fe112
reports/gate5_1_frontend/repair/r4/m3c_csim/vitis_csim.log,RV64M csim 15/15,PASS,d62870bc5d18254e4045e75f53c7e39ea907f68861350293426485e3a6c98eb6
reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/full_core_rtl_matrix.csv,RV64M full-core RTL 15/15,PASS,7f34863a8170a327bc2126aec160688ed4a800f2c32cb2ba17ea50650e8064f3
boom_hls_gate5_1_frontend_repair_r4_boom_core_top/solution_module/syn/report/boom_core_top_csynth.rpt,canonical product csynth,PASS,3e1350a13ba77d05707bfa3489af2d39301b6b9017691a86d337b5f818fa02b0
