test,reset_ordinal,release_cycle,first_fetch_cycle,first_fetch_latency,first_fetch_pc,first_commit_cycle,first_commit_latency,first_commit_pc,status
R0_POWER_ON_RESET,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
R1_RESET_FRONTEND_OUTSTANDING,1,5,2491,2486,0x0000000000010040,,,,INTERRUPTED
R1_RESET_FRONTEND_OUTSTANDING,2,2496,3985,1489,0x0000000000010040,6368,3872,0x0000000000010040,PASS
R2_RESET_ROB_NONEMPTY,1,5,2491,2486,0x0000000000010040,,,,INTERRUPTED
R2_RESET_ROB_NONEMPTY,2,3076,4565,1489,0x0000000000010040,6238,3162,0x0000000000010040,PASS
R3_RESET_IQ_NONEMPTY,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
R3_RESET_IQ_NONEMPTY,2,4169,5658,1489,0x0000000000010040,7331,3162,0x0000000000010040,PASS
R4_RESET_LOAD_PENDING,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
R4_RESET_LOAD_PENDING,2,12555,14044,1489,0x0000000000010040,15717,3162,0x0000000000010040,PASS
R5_RESET_STORE_PENDING,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
R5_RESET_STORE_PENDING,2,11855,13344,1489,0x0000000000010040,15017,3162,0x0000000000010040,PASS
R6_RESET_BRANCH_RECOVERY,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
R6_RESET_BRANCH_RECOVERY,2,5276,6765,1489,0x0000000000010040,8438,3162,0x0000000000010040,PASS
R7_RESET_TRACE_BACKPRESSURE,1,5,2491,2486,0x0000000000010040,,,,INTERRUPTED
R7_RESET_TRACE_BACKPRESSURE,2,4168,5657,1489,0x0000000000010040,7333,3165,0x0000000000010040,PASS
B0_TRACE_READY_ALWAYS,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
B1_TRACE_STALL_1,1,5,2491,2486,0x0000000000010040,4165,4160,0x0000000000010040,PASS
B2_TRACE_STALL_BURST,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
B3_TRACE_RANDOM_STALL,1,5,2491,2486,0x0000000000010040,4165,4160,0x0000000000010040,PASS
B4_TRACE_STALL_AT_BRANCH_COMMIT,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
B5_TRACE_STALL_AT_STORE_COMMIT,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
I0_IMEM_READY_ALWAYS,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
I1_IMEM_REQ_STALL,1,5,2491,2486,0x0000000000010040,4116,4111,0x0000000000010040,PASS
I2_IMEM_RESPONSE_DELAY_1,1,5,2491,2486,0x0000000000010040,4874,4869,0x0000000000010040,PASS
I3_IMEM_RESPONSE_DELAY_4,1,5,2491,2486,0x0000000000010040,4874,4869,0x0000000000010040,PASS
I4_IMEM_RANDOM_DELAY,1,5,2491,2486,0x0000000000010040,4874,4869,0x0000000000010040,PASS
I5_IMEM_STALE_RESPONSE_AFTER_REDIRECT,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
I6_IMEM_RESPONSE_DURING_RESET,1,5,2491,2486,0x0000000000010040,,,,INTERRUPTED
I6_IMEM_RESPONSE_DURING_RESET,2,2496,3985,1489,0x0000000000010040,6368,3872,0x0000000000010040,PASS
D0_DMEM_READY_ALWAYS,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
D1_STORE_REQ_STALL,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
D2_LOAD_REQ_STALL,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
D3_LOAD_RESPONSE_DELAY,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
D4_LOAD_RANDOM_DELAY,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
D5_STALE_LOAD_RESPONSE_AFTER_FLUSH,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
D6_STORE_DURING_BRANCH_FLUSH,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
D7_DMEM_RESPONSE_DURING_RESET,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
D7_DMEM_RESPONSE_DURING_RESET,2,12555,14044,1489,0x0000000000010040,15717,3162,0x0000000000010040,PASS
D8_TOHOST_STORE_BACKPRESSURE,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
P0_RESET_AND_BRANCH_MISPREDICT,1,5,2491,2486,0x0000000000010040,4164,4159,0x0000000000010040,PASS
P0_RESET_AND_BRANCH_MISPREDICT,2,5276,6765,1489,0x0000000000010040,8438,3162,0x0000000000010040,PASS
