program,scenario,status,rtl_cycles,commit_count,divider_commit_count,first_expected_commit_cycle,last_expected_commit_cycle,divider_commit_cycles,architectural_value_source,writeback_observation,expected_registers,tohost_status,log,trace
div,N0_NORMAL_INDEPENDENT_ALU,PASS,74620,12,1,68731,69684,68731,commit_trace,not_exposed_by_gate3_9_harness,x3=0xfffffffffffffff2;x4=0xfffffffffffffff3,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/div.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/div.jsonl
divu,N0_NORMAL_INDEPENDENT_ALU,PASS,74620,12,1,68731,69684,68731,commit_trace,not_exposed_by_gate3_9_harness,x3=0x1999999999999999;x4=0x199999999999999a,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/divu.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/divu.jsonl
rem,N0_NORMAL_INDEPENDENT_ALU,PASS,74620,12,1,68731,69684,68731,commit_trace,not_exposed_by_gate3_9_harness,x3=0xfffffffffffffffe;x4=0xffffffffffffffff,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/rem.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/rem.jsonl
remu,N0_NORMAL_INDEPENDENT_ALU,PASS,74620,12,1,68731,69684,68731,commit_trace,not_exposed_by_gate3_9_harness,x3=0x0000000000000005;x4=0x0000000000000006,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/remu.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/remu.jsonl
word_div_rem_mix,N0_NORMAL_INDEPENDENT_ALU,PASS,151508,20,4,42993,146635,42993;80711;115005;146635,commit_trace,not_exposed_by_gate3_9_harness,x3=0xffffffffd5555556;x4=0x000000002aaaaaaa;x5=0xfffffffffffffffe;x6=0x0000000000000002,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/word_div_rem_mix.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/word_div_rem_mix.jsonl
divide_by_zero,N0_NORMAL_INDEPENDENT_ALU,PASS,21919,14,4,11535,17040,11535;13330;15225;17040,commit_trace,not_exposed_by_gate3_9_harness,x3=0xffffffffffffffff;x4=0x000000000000007b;x5=0xffffffffffffffff;x6=0x000000000000007b,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/divide_by_zero.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/divide_by_zero.jsonl
divide_overflow,N0_NORMAL_INDEPENDENT_ALU,PASS,23771,16,4,12487,18896,12487;14238;17081;18896,commit_trace,not_exposed_by_gate3_9_harness,x3=0x8000000000000000;x4=0x0000000000000000;x6=0xffffffff80000000;x7=0x0000000000000000,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/divide_overflow.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/divide_overflow.jsonl
divide_dependency,N0_NORMAL_INDEPENDENT_ALU,PASS,202864,17,3,74606,197995,74606;137885;197065,commit_trace,not_exposed_by_gate3_9_harness,x3=0x000000000000000e;x5=0x0000000000000007;x6=0x0000000000000002;x7=0x0000000000000008,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/divide_dependency.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/divide_dependency.jsonl
divide_load_mix,N0_NORMAL_INDEPENDENT_ALU,PASS,139370,18,2,4164,75411,75411;134497,commit_trace,not_exposed_by_gate3_9_harness,x2=0x0000000000000064;x4=0x000000000000000b;x5=0x0000000000000001,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/divide_load_mix.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/divide_load_mix.jsonl
divide_branch_kill,N0_NORMAL_INDEPENDENT_ALU,PASS,81290,16,1,75324,76358,75324,commit_trace,not_exposed_by_gate3_9_harness,x4=0x000000000000000e;x5=0x000000000000000f,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/logs/divide_branch_kill.log,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/base_m3b/traces/divide_branch_kill.jsonl
