program,scenario,commit_count,rv64m_commit_count,tohost,status,trace
mul_family_all,N0_NORMAL_INDEPENDENT_ALU,15,5,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/mul_family_all.jsonl
div_family_all,N0_NORMAL_INDEPENDENT_ALU,18,8,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/div_family_all.jsonl
rv64m_all_13,N0_NORMAL_INDEPENDENT_ALU,24,13,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/rv64m_all_13.jsonl
mul_div_dependency,N0_NORMAL_INDEPENDENT_ALU,15,3,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/mul_div_dependency.jsonl
div_mul_dependency,N0_NORMAL_INDEPENDENT_ALU,14,3,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/div_mul_dependency.jsonl
high_multiply_mix,N0_NORMAL_INDEPENDENT_ALU,14,4,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/high_multiply_mix.jsonl
word_multiply_divide_mix,N0_NORMAL_INDEPENDENT_ALU,15,5,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/word_multiply_divide_mix.jsonl
divide_by_zero_mix,N0_NORMAL_INDEPENDENT_ALU,16,6,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/divide_by_zero_mix.jsonl
signed_overflow_mix,N0_NORMAL_INDEPENDENT_ALU,15,4,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/signed_overflow_mix.jsonl
rv64m_branch_mix,N0_NORMAL_INDEPENDENT_ALU,15,2,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/rv64m_branch_mix.jsonl
rv64m_load_mix,N0_NORMAL_INDEPENDENT_ALU,16,1,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/rv64m_load_mix.jsonl
rv64m_store_mix,N0_NORMAL_INDEPENDENT_ALU,16,1,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/rv64m_store_mix.jsonl
rv64m_reset_replay,R8_DOUBLE_RUNTIME_RESET,15,2,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/rv64m_reset_replay.jsonl
rv64m_rob_wrap,N0_NORMAL_INDEPENDENT_ALU,52,2,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/rv64m_rob_wrap.jsonl
rv64m_tohost_stress,N0_NORMAL_INDEPENDENT_ALU,15,2,PASS,PASS,reports/gate5_1_frontend/repair/r4/m3c_full_core_rtl/traces/rv64m_tohost_stress.jsonl
