request_index,request_accept_cycle,address,fetch_id,epoch,matching_response_accept_cycle,next_request_interval
0,8,0x0000000000010040,0,0,27,24
1,32,0x0000000000010044,1,0,45,24
2,56,0x0000000000010048,2,0,57,6
3,62,0x000000000001004c,3,0,63,6
4,68,0x0000000000010050,4,0,69,6
5,74,0x0000000000010054,5,0,75,6
6,80,0x0000000000010058,6,0,81,6
7,86,0x000000000001005c,7,0,87,6
8,92,0x0000000000010060,8,0,93,6
9,98,0x0000000000010064,9,0,99,6
10,104,0x0000000000010068,10,0,105,6
11,110,0x000000000001006c,11,0,111,6
12,116,0x0000000000010070,12,0,117,6
13,122,0x0000000000010074,13,0,123,6
14,128,0x0000000000010078,14,0,129,6
15,134,0x000000000001007c,15,0,135,6
16,140,0x0000000000010080,16,0,141,6
17,146,0x0000000000010084,17,0,147,6
18,152,0x0000000000010088,18,0,153,6
19,158,0x000000000001008c,19,0,159,6
20,164,0x0000000000010090,20,0,165,6
21,170,0x0000000000010094,21,0,171,6
22,176,0x0000000000010098,22,0,177,6
23,182,0x000000000001009c,23,0,183,6
24,188,0x00000000000100a0,24,0,189,6
25,194,0x00000000000100a4,25,0,195,6
26,200,0x00000000000100a8,26,0,201,6
27,206,0x00000000000100ac,27,0,207,6
28,212,0x00000000000100b0,28,0,213,6
29,218,0x00000000000100b4,29,0,219,6
30,224,0x00000000000100b8,30,0,225,6
31,230,0x00000000000100bc,31,0,231,6
32,236,0x00000000000100c0,32,0,237,6
33,242,0x00000000000100c4,33,0,243,6
34,248,0x00000000000100c8,34,0,,
