compressed_name,quadrant,funct3,rv64_status,output_base_instruction,core_support,test_status
C.ADDI4SPN,0,000,LEGAL,ADDI,SUPPORTED,PASS
C.FLD,0,001,LEGAL_IF_D,FLD,UNSUPPORTED_BY_CURRENT_CORE,PASS_UNSUPPORTED
C.LW,0,010,LEGAL,LW,SUPPORTED,PASS
C.LD,0,011,LEGAL,LD,SUPPORTED,PASS
RESERVED_Q0,0,100,RESERVED,NONE,UNSUPPORTED,PASS_RESERVED
C.FSD,0,101,LEGAL_IF_D,FSD,UNSUPPORTED_BY_CURRENT_CORE,PASS_UNSUPPORTED
C.SW,0,110,LEGAL,SW,SUPPORTED,PASS
C.SD,0,111,LEGAL,SD,SUPPORTED,PASS
C.NOP,1,000,LEGAL,ADDI,SUPPORTED,PASS
C.ADDI,1,000,LEGAL_OR_HINT,ADDI,SUPPORTED,PASS
C.ADDIW,1,001,LEGAL_OR_RESERVED,ADDIW,SUPPORTED,PASS
C.LI,1,010,LEGAL_OR_HINT,ADDI,SUPPORTED,PASS
C.ADDI16SP,1,011,LEGAL_OR_RESERVED,ADDI,SUPPORTED,PASS
C.LUI,1,011,LEGAL_HINT_OR_RESERVED,LUI,SUPPORTED,PASS
C.SRLI,1,100,LEGAL_OR_HINT,SRLI,SUPPORTED,PARTIAL_DECODE_CROSS
C.SRAI,1,100,LEGAL_OR_HINT,SRAI,SUPPORTED,PASS
C.ANDI,1,100,LEGAL,ANDI,SUPPORTED,PASS
C.SUB,1,100,LEGAL,SUB,SUPPORTED,PASS
C.XOR,1,100,LEGAL,XOR,SUPPORTED,PASS
C.OR,1,100,LEGAL,OR,SUPPORTED,PASS
C.AND,1,100,LEGAL,AND,SUPPORTED,PASS
C.SUBW,1,100,LEGAL,SUBW,SUPPORTED,PASS
C.ADDW,1,100,LEGAL,ADDW,SUPPORTED,PASS
RESERVED_CA_RV64,1,100,RESERVED,NONE,UNSUPPORTED,PASS_RESERVED
C.J,1,101,LEGAL,JAL_X0,SUPPORTED,PASS
C.BEQZ,1,110,LEGAL,BEQ,SUPPORTED,PASS
C.BNEZ,1,111,LEGAL,BNE,SUPPORTED,PASS
C.SLLI,2,000,LEGAL_OR_HINT,SLLI,SUPPORTED,PASS
C.FLDSP,2,001,LEGAL_IF_D,FLD,UNSUPPORTED_BY_CURRENT_CORE,PASS_UNSUPPORTED
C.LWSP,2,010,LEGAL_OR_RESERVED,LW,SUPPORTED,PASS
C.LDSP,2,011,LEGAL_OR_RESERVED,LD,SUPPORTED,PASS
C.JR,2,100,LEGAL_OR_RESERVED,JALR_X0,SUPPORTED,PASS
C.MV,2,100,LEGAL_OR_HINT,ADD,SUPPORTED,PASS
C.EBREAK,2,100,LEGAL,EBREAK,DECOMPRESS_ONLY,PASS_DECOMPRESS
C.JALR,2,100,LEGAL,JALR_X1,SUPPORTED,PASS
C.ADD,2,100,LEGAL_OR_HINT,ADD,SUPPORTED,PASS
C.FSDSP,2,101,LEGAL_IF_D,FSD,UNSUPPORTED_BY_CURRENT_CORE,PASS_UNSUPPORTED
C.SWSP,2,110,LEGAL,SW,SUPPORTED,PASS
C.SDSP,2,111,LEGAL,SD,SUPPORTED,PASS
NON_RVC,3,ANY,NOT_COMPRESSED,NONE,NOT_APPLICABLE,PASS
