scenario,cycle,request_valid,request_accepted,request_address,response_valid,response_address,response_accepted,publication_valid,decode_accepted,publication_pc,publication_rvc,pc_before,pc_after,carry_before,carry_after,hold_before,hold_after,stall
all-C,0,1,1,0x40000,0,0,0,0,0,0,0,0x40000,0x40000,0,0,0,0,0
all-C,1,0,0,0,1,0x40000,1,1,1,0x40000,1,0x40000,0x40002,0,0,0,1,0
all-C,2,1,1,0x40004,0,0,0,1,1,0x40002,1,0x40002,0x40004,0,0,1,1,0
all-C,3,0,0,0,1,0x40004,1,1,1,0x40004,1,0x40004,0x40006,0,0,1,1,0
all-C,4,1,1,0x40008,0,0,0,1,1,0x40006,1,0x40006,0x40008,0,0,1,1,0
all-C,5,0,0,0,1,0x40008,1,1,1,0x40008,1,0x40008,0x4000a,0,0,1,1,0
all-C,6,1,1,0x4000c,0,0,0,1,1,0x4000a,1,0x4000a,0x4000c,0,0,1,1,0
all-C,7,0,0,0,1,0x4000c,1,1,1,0x4000c,1,0x4000c,0x4000e,0,0,1,1,0
all-C,8,1,1,0x40010,0,0,0,1,1,0x4000e,1,0x4000e,0x40010,0,0,1,1,0
all-C,9,0,0,0,1,0x40010,1,1,1,0x40010,1,0x40010,0x40012,0,0,1,1,0
all-C,10,1,1,0x40014,0,0,0,1,1,0x40012,1,0x40012,0x40014,0,0,1,1,0
all-C,11,0,0,0,1,0x40014,1,1,1,0x40014,1,0x40014,0x40016,0,0,1,1,0
all-C,12,1,1,0x40018,0,0,0,1,1,0x40016,1,0x40016,0x40018,0,0,1,1,0
all-C,13,0,0,0,1,0x40018,1,1,1,0x40018,1,0x40018,0x4001a,0,0,1,1,0
all-C,14,1,1,0x4001c,0,0,0,1,1,0x4001a,1,0x4001a,0x4001c,0,0,1,1,0
all-C,15,0,0,0,1,0x4001c,1,1,1,0x4001c,1,0x4001c,0x4001e,0,0,1,1,0
all-C,16,1,1,0x40020,0,0,0,1,1,0x4001e,1,0x4001e,0x40020,0,0,1,1,0
