top,LUT,FF,BRAM_18K,DSP,estimated_period_ns,latency_best_cycles,latency_worst_cycles,interval_min,interval_max,PipelineType,status,evidence_xml
boom_core_top,126798,28492,16,3,6.341,undef,undef,undef,undef,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/boom_core_top_csynth.xml
synth_core_step_top,119210,28085,16,3,6.341,undef,undef,undef,undef,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/synth_core_step_top_csynth.xml
synth_completion_top,38034,10811,8,0,5.474,undef,undef,undef,undef,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/synth_completion_top_csynth.xml
synth_divider_top,3429,344,0,0,5.734,1,2,2,3,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/synth_divider_top_csynth.xml
synth_execute_top,6773,916,8,3,6.411,11,222,12,223,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/synth_execute_top_csynth.xml
synth_frontend_top,1479,718,0,0,4.379,4,4,5,5,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/synth_frontend_top_csynth.xml
synth_issue_top,18001,4930,0,0,3.567,undef,undef,undef,undef,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/synth_issue_top_csynth.xml
synth_mul_top,709,264,0,3,4.717,1,1,2,2,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/synth_mul_top_csynth.xml
synth_rob_top,29641,8155,1,0,3.746,undef,undef,undef,undef,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/synth_rob_top_csynth.xml
synth_rvc_top,1022,0,0,0,1.845,0,0,1,1,no,PASS,/home/lab_726/boom/hls_boom/reports/gate5_2_rvc/r2/csynth/synth_rvc_top_csynth.xml
