compressed_encoding,expanded_instruction,class,r2_root_cause,r3_result
0x9001,0x02045413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9002,0x00100073,C.EBREAK,SYSTEM Decode lacked breakpoint cause 3,SUPPORTED
0x9005,0x02145413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9009,0x02245413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x900d,0x02345413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9011,0x02445413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9015,0x02545413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9019,0x02645413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x901d,0x02745413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9021,0x02845413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9025,0x02945413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9029,0x02a45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x902d,0x02b45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9031,0x02c45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9035,0x02d45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9039,0x02e45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x903d,0x02f45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9041,0x03045413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9045,0x03145413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9049,0x03245413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x904d,0x03345413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9051,0x03445413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9055,0x03545413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9059,0x03645413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x905d,0x03745413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9061,0x03845413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9065,0x03945413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9069,0x03a45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x906d,0x03b45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9071,0x03c45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9075,0x03d45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9079,0x03e45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x907d,0x03f45413,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9081,0x0204d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9082,0x000080e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9085,0x0214d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9089,0x0224d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x908d,0x0234d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9091,0x0244d493,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
