top,LUT,FF,BRAM_18K,DSP,target_period_ns,estimated_period_ns,PipelineType,evidence_xml
synth_fetch_buffer_top,1179,846,0,0,10.00,4.574,no,build/gate5_3_fetch_buffer/b1/csynth/d8_auto/solution/syn/report/synth_fetch_buffer_top_csynth.xml
synth_rvc_top,1022,0,0,0,10.00,1.845,no,boom_hls_gate5_3_fetch_buffer_b2_synth_rvc_top/solution_module/syn/report/synth_rvc_top_csynth.xml
synth_frontend_top,2761,790,0,0,10.00,5.168,no,boom_hls_gate5_3_fetch_buffer_b2_synth_frontend_top/solution_module/syn/report/synth_frontend_top_csynth.xml
synth_divider_top,3429,344,0,0,10.00,5.734,no,boom_hls_gate5_3_fetch_buffer_b2_synth_divider_top/solution_module/syn/report/synth_divider_top_csynth.xml
synth_mul_top,709,264,0,3,10.00,4.717,no,boom_hls_gate5_3_fetch_buffer_b2_synth_mul_top/solution_module/syn/report/synth_mul_top_csynth.xml
synth_issue_top,18001,4930,0,0,10.00,3.567,no,boom_hls_gate5_3_fetch_buffer_b2_synth_issue_top/solution_module/syn/report/synth_issue_top_csynth.xml
synth_execute_top,6773,916,8,3,10.00,6.411,no,boom_hls_gate5_3_fetch_buffer_b2_synth_execute_top/solution_module/syn/report/synth_execute_top_csynth.xml
synth_completion_top,38034,10811,8,0,10.00,5.474,no,boom_hls_gate5_3_fetch_buffer_b2_synth_completion_top/solution_module/syn/report/synth_completion_top_csynth.xml
synth_rob_top,29641,8155,1,0,10.00,3.746,no,boom_hls_gate5_3_fetch_buffer_b2_synth_rob_top/solution_module/syn/report/synth_rob_top_csynth.xml
synth_core_step_top,122123,28787,16,3,10.00,6.341,no,boom_hls_gate5_3_fetch_buffer_b2_core_synth_core_step_top/solution_module/syn/report/synth_core_step_top_csynth.xml
boom_core_top,129885,29194,16,3,10.00,6.341,no,boom_hls_gate5_3_fetch_buffer_b2_core_boom_core_top/solution_module/syn/report/boom_core_top_csynth.xml
