workload,decode_stall_percent,decode_ready_fraction,producer_width,raw_frontend_supply_upper_instructions_per_native_call,end_to_end_upper_instructions_per_native_call,basis
all_C,0,1.00,1,1.000,1.000,"current scalar parser; measured approximately 1/call"
all_C,0,1.00,2,2.000,1.000,"two C parcels per response; Decode width 1"
all_C,0,1.00,4,2.000,1.000,"single response has only two parcels"
all_C,25,0.75,1,1.000,0.750,"min(raw supply, Decode readiness)"
all_C,25,0.75,2,2.000,0.750,"Decode limited"
all_C,25,0.75,4,2.000,0.750,"Decode limited"
all_C,50,0.50,1,1.000,0.500,"min(raw supply, Decode readiness)"
all_C,50,0.50,2,2.000,0.500,"Decode limited"
all_C,50,0.50,4,2.000,0.500,"Decode limited"
all_32_aligned,0,1.00,1,1.000,1.000,"one complete 32-bit instruction per response"
all_32_aligned,0,1.00,2,1.000,1.000,"no second instruction in response"
all_32_aligned,0,1.00,4,1.000,1.000,"no second instruction in response"
all_32_aligned,25,0.75,1,1.000,0.750,"Decode limited"
all_32_aligned,25,0.75,2,1.000,0.750,"Decode limited"
all_32_aligned,25,0.75,4,1.000,0.750,"Decode limited"
all_32_aligned,50,0.50,1,1.000,0.500,"Decode limited"
all_32_aligned,50,0.50,2,1.000,0.500,"Decode limited"
all_32_aligned,50,0.50,4,1.000,0.500,"Decode limited"
alternating_C_32,0,1.00,1,0.800,0.800,"accepted measured current parser rate"
alternating_C_32,0,1.00,2,1.333,1.000,"three parcels form two instructions; single-response unpacking reuses completion-word upper parcel"
alternating_C_32,0,1.00,4,1.333,1.000,"no gain over width 2"
alternating_C_32,25,0.75,1,0.800,0.750,"Decode readiness below current raw supply"
alternating_C_32,25,0.75,2,1.333,0.750,"Decode limited"
alternating_C_32,25,0.75,4,1.333,0.750,"Decode limited"
alternating_C_32,50,0.50,1,0.800,0.500,"Decode limited"
alternating_C_32,50,0.50,2,1.333,0.500,"Decode limited"
alternating_C_32,50,0.50,4,1.333,0.500,"Decode limited"
cross_word_all_32_PC1,0,1.00,1,0.500,0.500,"accepted measured carry-only/publication alternation"
cross_word_all_32_PC1,0,1.00,2,1.000,1.000,"included parser refactor completes carry and retains next upper start; this gain does not intrinsically require a second output lane"
cross_word_all_32_PC1,0,1.00,4,1.000,1.000,"no gain over width 2"
cross_word_all_32_PC1,25,0.75,1,0.500,0.500,"Frontend limited"
cross_word_all_32_PC1,25,0.75,2,1.000,0.750,"Decode limited; optimized width 1 could share this raw parser bound"
cross_word_all_32_PC1,25,0.75,4,1.000,0.750,"Decode limited"
cross_word_all_32_PC1,50,0.50,1,0.500,0.500,"equal Frontend/Decode bound"
cross_word_all_32_PC1,50,0.50,2,1.000,0.500,"Decode limited; optimized width 1 could share this raw parser bound"
cross_word_all_32_PC1,50,0.50,4,1.000,0.500,"Decode limited"
branch_heavy_all_32,0,1.00,1,1.000,0.571,"assume taken redirect every fourth instruction and three-call refill; q/(1+q*0.25*3)"
branch_heavy_all_32,0,1.00,2,1.000,0.571,"packet width does not shorten first-correct-instruction refill"
branch_heavy_all_32,0,1.00,4,1.000,0.571,"packet width does not shorten first-correct-instruction refill"
branch_heavy_all_32,25,0.75,1,1.000,0.480,"q/(1+q*0.25*3)"
branch_heavy_all_32,25,0.75,2,1.000,0.480,"same redirect bound"
branch_heavy_all_32,25,0.75,4,1.000,0.480,"same redirect bound"
branch_heavy_all_32,50,0.50,1,1.000,0.364,"q/(1+q*0.25*3)"
branch_heavy_all_32,50,0.50,2,1.000,0.364,"same redirect bound"
branch_heavy_all_32,50,0.50,4,1.000,0.364,"same redirect bound"
