top,comparison,b2_lut,b3i_lut,lut_delta,b2_ff,b3i_ff,ff_delta,b2_bram,b3i_bram,b2_dsp,b3i_dsp,b2_period_ns,b3i_period_ns
synth_fetch_packet_top,NO_B2_BASELINE,,4491,,,2232,,,0,,0,,6.071
synth_fetch_buffer_top,COMPARED,1179,1179,0,846,846,0,0,0,0,0,4.574,4.574
synth_rvc_top,COMPARED,1022,1022,0,0,0,0,0,0,0,0,1.845,1.845
synth_frontend_top,COMPARED,2761,7824,5063,790,4430,3640,0,0,0,0,5.168,6.071
synth_divider_top,COMPARED,3429,3429,0,344,344,0,0,0,0,0,5.734,5.734
synth_mul_top,COMPARED,709,709,0,264,264,0,0,0,3,3,4.717,4.717
synth_issue_top,COMPARED,18001,18001,0,4930,4930,0,0,0,0,0,3.567,3.567
synth_execute_top,COMPARED,6773,6773,0,916,916,0,8,8,3,3,6.411,6.411
synth_completion_top,COMPARED,38034,38034,0,10811,10811,0,8,8,0,0,5.474,5.474
synth_rob_top,COMPARED,29641,29641,0,8155,8155,0,1,1,0,0,3.746,3.746
synth_core_step_top,COMPARED,122123,127922,5799,28787,32966,4179,16,16,3,3,6.341,6.341
boom_core_top,COMPARED,129885,135953,6068,29194,33373,4179,16,16,3,3,6.341,6.341
