artifact,hash_algorithm,digest,role,status
git:accepted_gate5_3_commit,git_oid,ef051ca4e3673d663f9d10b55029c956fbc0052a,accepted_baseline,VERIFIED_HEAD
reports/gate5_4_predictor/p0/baseline_manifest.md,sha256,fea2415ef5784769041a4c0fdb6be2dec074566a393aee9883e03d41531e0634,baseline_record,P0_OUTPUT
reports/gate5_4_predictor/p0/git_status_before.txt,sha256,0c5e7ab7e1831d701a920e5e329b504cfb39f6d1adceb430ca69681e5baaa5c4,environment_and_git_record,P0_OUTPUT
reports/gate5_4_predictor/p0/current_prediction_gap_inventory.csv,sha256,6bc163a4e083574ea1043c3ec0ca14ea9cecfdf4fbe4ac983175195744d99bc8,current_gap_inventory,P0_OUTPUT
reports/gate5_4_predictor/p0/predictor_request_point_tradeoff.csv,sha256,8fec01ecdacfafc9a3f8dadce514dda5b72c06dcfc5971aa90e766a32a7ef956,request_point_tradeoff,P0_OUTPUT
reports/gate5_4_predictor/p0/frontend_predecode_requirements.md,sha256,7bcb3846911f9a1595ad6f85e3fa041e225e77efd6f649ac309ec88ded82c2a6,predecode_contract,P0_OUTPUT
reports/gate5_4_predictor/p0/packet_cfi_semantics.md,sha256,351f40594293c5446f144afccc7ad6a77df234e2b5f66da52af566b3d83c24c9,packet_cfi_policy,P0_OUTPUT
reports/gate5_4_predictor/p0/prediction_target_sources.csv,sha256,805c6cd94ba7b3a0129cc306153c3601aa025e706cb299540961cc7f9a4fcac9,target_source_inventory,P0_OUTPUT
reports/gate5_4_predictor/p0/predictor_response_contract.md,sha256,9164320467bf20b2e1c2f1e5c6f57f021f2c4dde40de6835aed50f7400a53844,response_contract,P0_OUTPUT
reports/gate5_4_predictor/p0/predictor_ftq_field_contract.csv,sha256,e5efe7e5cb715408d5b57167a0e4f02973413af4453524c6eeb3019996af9e47,ftq_field_contract,P0_OUTPUT
reports/gate5_4_predictor/p0/prediction_update_lifecycle.md,sha256,41ca8a71c6e7de926370ffeb6a00b7162c6ad6df543c6e0eb8c243ba993be827,update_lifecycle,P0_OUTPUT
reports/gate5_4_predictor/p0/mispredict_semantics.md,sha256,f6151d69fac2f562eaade47989ed31150b0f70ea53e4f40be2b124ecab2d9009,mispredict_types,P0_OUTPUT
reports/gate5_4_predictor/p0/predictor_generation_semantics.md,sha256,0ee065e5fb9f2e08e7adde660319a125764f7d2ca82926551dd3f88b72a44f92,generation_contract,P0_OUTPUT
reports/gate5_4_predictor/p0/predictor_latency_contract.md,sha256,6b06fa2b31908eb4d64747580a251d7c1aef0db135de505bcc1eb04bf7f872a6,latency_contract,P0_OUTPUT
reports/gate5_4_predictor/p0/predictor_foundation_tradeoff.csv,sha256,4f47ebafc0e8607ec37a98a916e8e27c90714520f0d6d47dd795a37ba20c67ad,foundation_tradeoff,P0_OUTPUT
reports/gate5_4_predictor/p0/predictor_static_ppa_model.csv,sha256,639a4f815054f84b87c0f50c079c3788b5ef1420f213bf430a2e2c6a958027b3,static_ppa_model,P0_OUTPUT
reports/gate5_4_predictor/p0/predictor_hls_risk_analysis.md,sha256,892b817c10d7d88dbf35ddceac6eb735e54aac15912593d995d34d8475d2f2d3,hls_risk_analysis,P0_OUTPUT
reports/gate5_4_predictor/p0/gate5_4_predictor_ftq_roadmap.md,sha256,0ab850f37a64e1bcd188c204cae2b1b556830f662a2e8b8243cd86dbf5d2da6e,implementation_roadmap,P0_OUTPUT
reports/gate5_4_predictor/p0/p0_results.md,sha256,029ef57b1677af855df063daf73cb080b559e1726ef4cd74a35332266e8f7606,final_verdict,P0_OUTPUT
docs/predictor_architecture_review.md,sha256,75c85782cad5659bb090a9353b79564834d8bdcf4e18d2cbec299324e81e1cf9,architecture_doc,P0_OUTPUT
docs/predictor_parameterization.md,sha256,9d92611f29861d9ac786a95b630682bbb10d0bc408066cd1317b1264cadefcea,parameter_doc,P0_OUTPUT
src/boom_all.cpp,not_rehashed,excluded,protected_legacy_source,EXCLUDED_UNCHANGED
