artifact,role,status,evidence
include/predictor.hpp,standalone public API,VERIFIED,source inspection
src/predictor.cpp,standalone BIM implementation,VERIFIED,source inspection
tb/differential/predictor_foundation_tests.cpp,directed verification,PASS_5008,logs/predictor_directed.log
tb/differential/predictor_foundation_random_tests.cpp,random differential verification,PASS_75497472,logs/predictor_random.log
tb/differential/predictor_predecode_composition_tests.cpp,P1 composition verification,PASS_10620,logs/predictor_composition.log
rtl_tb/predictor_foundation_rtl_tb.sv,generated RTL testbench,PASS_164,logs/rtl/xsim.log
scripts/gate5_4/run_p2_predictor_native.sh,native launcher,PASS,logs/predictor_directed.log
scripts/gate5_4/run_p2_predictor_random.sh,random launcher,PASS,logs/predictor_random.log
scripts/gate5_4/run_p2_predictor_rtl.sh,RTL launcher,PASS,logs/rtl/xsim.log
scripts/gate5_4/run_p2_predictor_csynth.sh,synthesis launcher,PASS,bim_depth_sweep.csv
boom_hls_gate5_4_p2_depth_synth_predictor_foundation_64_top/solution_module/syn/report/synth_predictor_foundation_64_top_csynth.xml,64 AUTO XML,PASS,bim_depth_sweep.csv
boom_hls_gate5_4_p2_depth_synth_predictor_foundation_128_top/solution_module/syn/report/synth_predictor_foundation_128_top_csynth.xml,128 AUTO XML,PASS,bim_depth_sweep.csv
boom_hls_gate5_4_p2_depth_synth_predictor_foundation_256_top/solution_module/syn/report/synth_predictor_foundation_256_top_csynth.xml,256 AUTO XML,PASS,bim_depth_sweep.csv
boom_hls_gate5_4_p2_depth_synth_predictor_foundation_512_top/solution_module/syn/report/synth_predictor_foundation_512_top_csynth.xml,512 AUTO XML,PASS,bim_depth_sweep.csv
boom_hls_gate5_4_p2_lutram_synth_predictor_foundation_top/solution_module/syn/report/synth_predictor_foundation_top_csynth.xml,canonical LUTRAM XML,PASS,storage_experiments.csv
boom_hls_gate5_4_p2_bram_synth_predictor_foundation_top/solution_module/syn/report/synth_predictor_foundation_top_csynth.xml,BRAM XML,PASS,storage_experiments.csv
boom_hls_gate5_4_p2_depth_synth_predictor_foundation_full_reset_top/solution_module/syn/report/synth_predictor_foundation_full_reset_top_csynth.xml,full-reset XML,PASS,reset_experiments.csv
boom_hls_gate5_4_p2_preserve_synth_frontend_top/solution_module/syn/report/synth_frontend_top_csynth.xml,product preservation XML,PASS,resource_summary.csv
reports/gate5_4_predictor/p2/source_hashes_before.txt,protected baseline hashes,CAPTURED,baseline_manifest.md
reports/gate5_4_predictor/p2/source_hashes_after.txt,protected final hashes,IDENTICAL,baseline_manifest.md
reports/gate5_4_predictor/p2/git_status_before.txt,full dirty baseline,CAPTURED,baseline_manifest.md
