scenario,step_N,step_N_plus_1,wait_steps,best_case_admission_delta,next_request_delta,notes
no_cfi,build_and_predecode_bypass,atomic_FB_FTQ_admit,0,0,0,sequential
branch_lane0,build_predecode_P2_request,P2_response_mask_and_atomic_admit,1,0,1,taken_masks_lane1
branch_lane1,build_predecode_P2_request,P2_response_and_atomic_admit,1,0,1,mask11_retained
jal,build_predecode_static_target,atomic_admit,0,0,0,no_P2_request
jalr,build_predecode_no_target,atomic_admit,0,0,0,fallthrough_until_execute
all_rvc,build_complete_canonical_packet,policy_by_selected_CFI,0_or_1,0,0_or_1,width_independent
all_32,build_complete_canonical_packet,policy_by_selected_CFI,0_or_1,0,0_or_1,width_independent
cross_word_plus_rvc,complete_carry_and_build_two_lanes,policy_by_selected_CFI,0_or_1,0,0_or_1,no_partial_predecode
fetch_buffer_blocked,build_or_hold,response_or_bypass_holds_until_FB_and_FTQ_ready,variable,variable,variable,no_partial_accept
redirect_while_pending,invalidate_context,drain_drop_stale_response,aborted,NA,NA,redirect_priority
reset_while_pending,invalidate_context_and_reset_predictor_controls,drain_drop_stale_response,aborted,NA,NA,no_payload_wide_reset
