artifact,status,purpose
pf3_results.md,PRESENT,verdict
pf3_ftq_product_state_ownership.md,PRESENT,state ownership
pf3_fb_ftq_atomicity.md,PRESENT,atomic admission
pf3_ftq_reference_layout.csv,PRESENT,reference fields
pf3_ftq_turnover_contract.md,PRESENT,reclaim allocation ordering
pf3_prediction_metadata_contract.md,PRESENT,metadata lifetime
pf3_commit_ftq_lifetime.md,PRESENT,normal retire
pf3_branch_squash_ftq_lifetime.md,PRESENT,branch redirect lifetime
pf3_exception_ftq_lifetime.md,PRESENT,precise exception lifetime
pf3_stale_reference_policy.md,PRESENT,generation safety
directed_test_matrix.csv,PRESENT,directed evidence
small_state_exhaustive.csv,PRESENT,bounded evidence
random_test_summary.csv,PRESENT,random evidence
long_run_summary.csv,PRESENT,no-leak evidence
program_matrix.csv,PRESENT,missing-program blocker
rtl_test_matrix.csv,PRESENT,focused RTL evidence
full_core_rtl_matrix.csv,PRESENT,missing full-core blocker
regression_after.md,PRESENT,preservation evidence
resource_summary.csv,PRESENT,canonical csynth
stage_resource_delta.csv,PRESENT,PF2 delta
pf3_critical_path_analysis.md,PRESENT,timing analysis
workspace_hygiene_check.md,PRESENT,hygiene verdict
directive_audit.md,PRESENT,S0 audit
