carrier,field,bits,lifetime,reason
FetchInstruction,ftq_idx,5,fetch_buffer_to_decode,slot_address
FetchInstruction,ftq_generation,32,fetch_buffer_to_decode,stale_protection
FetchInstruction,ftq_lane,1,fetch_buffer_to_decode,exact_live_lane
FetchInstruction,ftq_halfword_offset,2,fetch_buffer_to_decode,packet_base_plus_2byte_units
FetchInstruction,is_rvc,1,fetch_buffer_to_decode,instruction_length
MicroOp_and_ROB,ftq_idx,5,decode_to_terminal_event,slot_address
MicroOp_and_ROB,ftq_generation,32,decode_to_terminal_event,stale_protection
MicroOp_and_ROB,ftq_lane,1,decode_to_terminal_event,exact_live_lane
MicroOp_and_ROB,ftq_halfword_offset,2,decode_to_terminal_event,PC_reconstruction
MicroOp_and_ROB,is_rvc,1,decode_to_terminal_event,instruction_length
decision,PRODUCT_FTQ_REFERENCE,40,admission_to_terminal_event,idx5_plus_generation32_plus_lane1_plus_halfword_offset2
