program,native,csim,status
pf3_straight_commit,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_rvc_packets,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_jal_mask,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_conditional_shadow,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_branch_squash,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_exception_flush,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_ftq_wrap,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_generation_reuse,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_rv64m,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_mixed_control,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_long_stream,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
pf3_reset_midstream,NOT_RUN,NOT_RUN,NOT_IMPLEMENTED
