program,status,native_csim_exact_match,signature,events
pf3_straight_commit,PASS,PASS,x8=0x000000000000000b;x9=0x0000000000000011;x18=0x000000000000001c;x19=0x0000000000000021;x20=0x000000000000002a,alloc=10 retire=10 reclaim=10 redirect=0 squash=0 wrap=0 reuse=0 generation_reject=0 exception=0 reset=0 max_occupancy=1 commits=10 cycles=34 status=PASS
pf3_rvc_packets,PASS,PASS,x8=0x000000000000000c;x9=0x0000000000000004;x18=0x0000000000000015;x19=0x0000000000000021,alloc=9 retire=12 reclaim=9 redirect=0 squash=0 wrap=0 reuse=0 generation_reject=0 exception=0 reset=0 max_occupancy=1 commits=12 cycles=31 status=PASS
pf3_jal_mask,PASS,PASS,x8=0x0000000000000009;x9=0x000000000000000d,alloc=9 retire=9 reclaim=9 redirect=1 squash=0 wrap=0 reuse=0 generation_reject=1 exception=0 reset=0 max_occupancy=1 commits=9 cycles=34 status=PASS
pf3_conditional_shadow,PASS,PASS,x8=0x0000000000000005;x9=0x0000000000000005;x18=0x0000000000000013;x19=0x0000000000000017,alloc=10 retire=10 reclaim=10 redirect=1 squash=0 wrap=0 reuse=0 generation_reject=1 exception=0 reset=0 max_occupancy=1 commits=10 cycles=37 status=PASS
pf3_branch_squash,PASS,PASS,x8=0x0000000000000001;x9=0x0000000000000002;x18=0x0000000000000015;x19=0x000000000000001d,alloc=10 retire=10 reclaim=10 redirect=1 squash=0 wrap=0 reuse=0 generation_reject=1 exception=0 reset=0 max_occupancy=1 commits=10 cycles=37 status=PASS
pf3_exception_flush,PASS,PASS,x8=0x000000000000001b,alloc=2 retire=2 reclaim=2 redirect=1 squash=0 wrap=0 reuse=0 generation_reject=0 exception=1 reset=0 max_occupancy=1 commits=2 cycles=12 status=PASS
pf3_ftq_wrap,PASS,PASS,x8=0x0000000000000048;x9=0x000000000000004e,alloc=79 retire=79 reclaim=79 redirect=0 squash=0 wrap=2 reuse=47 generation_reject=0 exception=0 reset=0 max_occupancy=1 commits=79 cycles=241 status=PASS
pf3_generation_reuse,PASS,PASS,x8=0x000000000000004c;x9=0x000000000000004f,alloc=84 retire=84 reclaim=84 redirect=1 squash=0 wrap=2 reuse=52 generation_reject=1 exception=0 reset=0 max_occupancy=1 commits=84 cycles=259 status=PASS
pf3_rv64m,PASS,PASS,x18=0x000000000000007e;x19=0x0000000000000083;x20=0x0000000000000312,alloc=10 retire=10 reclaim=10 redirect=0 squash=0 wrap=0 reuse=0 generation_reject=0 exception=0 reset=0 max_occupancy=1 commits=10 cycles=34 status=PASS
pf3_mixed_control,PASS,PASS,x18=0x0000000000000007;x19=0x000000000000000f;x20=0x0000000000000011,alloc=14 retire=14 reclaim=14 redirect=2 squash=0 wrap=0 reuse=0 generation_reject=2 exception=0 reset=0 max_occupancy=1 commits=14 cycles=54 status=PASS
pf3_long_stream,PASS,PASS,x8=0x00000000000000a0;x9=0x00000000000000a1;x18=0x00000000000000a2,alloc=168 retire=168 reclaim=168 redirect=0 squash=0 wrap=5 reuse=136 generation_reject=0 exception=0 reset=0 max_occupancy=1 commits=168 cycles=508 status=PASS
pf3_reset_midstream,PASS,PASS,x8=0x0000000000000030;x9=0x0000000000000034,alloc=84 retire=84 reclaim=84 redirect=0 squash=0 wrap=2 reuse=23 generation_reject=0 exception=0 reset=1 max_occupancy=1 commits=84 cycles=260 status=PASS
