program,alloc,reclaim,redirect,wrap,reuse,generation_retry_cycles,reset,max_occupancy
pf3_straight_commit,17,13,1,0,0,48,0,1
pf3_rvc_packets,16,12,1,0,0,48,0,2
pf3_jal_mask,16,12,2,0,0,96,0,1
pf3_conditional_shadow,17,13,2,0,0,96,0,1
pf3_branch_squash,17,13,2,0,0,96,0,1
pf3_exception_flush,8,4,2,0,0,48,0,1
pf3_ftq_wrap,86,82,1,2,54,48,0,1
pf3_generation_reuse,91,87,2,2,59,96,0,1
pf3_rv64m,17,13,1,0,0,48,0,1
pf3_mixed_control,21,17,3,0,0,144,0,1
pf3_long_stream,175,171,1,5,143,48,0,1
pf3_reset_midstream,84,79,2,2,52,96,1,1
