suite,required,executed,status,evidence
pf3_directed_checks,481322,481322,PASS,reports/gate5_4_product_integration/pf3/directed_test_matrix.csv
pf3_small_state_exhaustive,16250,16250,PASS,/tmp/boom_hls/pf3a/gate5_4_product_integration/pf3
pf3_random_seeds,256,256,PASS,reports/gate5_4_product_integration/pf3/random_test_summary.csv
pf3_long_run_steps,1000000,1000000,PASS,reports/gate5_4_product_integration/pf3/long_run_summary.csv
pf3_focused_csim,1,1,PASS,/tmp/boom_hls/pf3a/gate5_4_product_integration/pf3/csim/vitis_hls.log
pf3_focused_rtl_cases,100,100,PASS,/tmp/boom_hls/pf3a/preserved/gate5_4_product_integration/pf3/focused_rtl.bXd1kc/xsim.log
pf3_named_programs_native,12,12,PASS,/tmp/boom_hls/pf3a/native.log
pf3_named_programs_csim,12,12,PASS,/tmp/boom_hls/pf3a/csim.log
pf3_current_source_full_core_rtl,12,12,PASS,reports/gate5_4_product_integration/pf3r/pf3r_full_core_rtl_matrix.csv
pf2_focused_rtl_cases,116,116,PASS,/tmp/boom_hls/pf3a/preserved/gate5_4/pf2/focused_rtl.lkJwzu/xsim.log
pf2_full_core_rtl_programs,11,11,PASS,reports/gate5_2_rvc/r2/r2_full_core_rtl_matrix.csv
pf1_focused_exception_rtl_cases,64,64,PASS,reports/gate5_4_product_integration/pf1/logs/pf1_exception_rtl.log
pf1_full_core_exception_rtl_scenarios,8,8,PASS,reports/gate5_4_product_integration/pf1/logs/pf1_full_core_rtl_0.log
gate5_3_packet_random_seeds,256,256,PASS,reports/gate5_3_fetch_buffer/b3i/logs/random.log
gate5_3_b3i_full_core_native,6,6,PASS,reports/gate5_3_fetch_buffer/b3i/logs/full_core_native.log
gate5_3_b3i_full_core_rtl,6,6,PASS,/tmp/boom_hls/pf3a/preserved/gate5_3/b3i/rtl/full_core_rtl_matrix.csv
backend_m3c_full_core_native,15,15,PASS,/tmp/boom_hls/pf3a/m3c_report/logs/rv64m_full_core_tests.log
canonical_csynth,1,1,PASS,reports/gate5_4_pf3a_canonical/module_csynth_summary.csv
