program,status,commits,signature,trace
pf5_pred_nt_actual_nt,PASS,10,PASS,traces/pf5_pred_nt_actual_nt.jsonl
pf5_pred_nt_actual_t,PASS,9,PASS,traces/pf5_pred_nt_actual_t.jsonl
pf5_pred_t_actual_t,PASS,9,PASS,traces/pf5_pred_t_actual_t.jsonl
pf5_pred_t_actual_nt,PASS,10,PASS,traces/pf5_pred_t_actual_nt.jsonl
pf5_rvc_commit,PASS,10,PASS,traces/pf5_rvc_commit.jsonl
pf5_same_packet_kill,PASS,11,PASS,traces/pf5_same_packet_kill.jsonl
pf5_fault_no_training,PASS,9,PASS,traces/pf5_fault_no_training.jsonl
pf5_ftq_wrap_training,PASS,89,PASS,traces/pf5_ftq_wrap_training.jsonl
pf5_jal_no_training,PASS,9,PASS,traces/pf5_jal_no_training.jsonl
pf5_jalr_no_training,PASS,11,PASS,traces/pf5_jalr_no_training.jsonl
pf5_exception_no_training,PASS,9,PASS,traces/pf5_exception_no_training.jsonl
pf5_mixed_long_training,PASS,37,PASS,traces/pf5_mixed_long_training.jsonl
