metric,value,status
product_programs,12,PASS
standalone_pf5_sources,12,PASS
native_programs_passed,12,PASS
csim_programs_passed,12,PASS
full_core_rtl_programs_passed,12,PASS
focused_rtl_cases,160,PASS
mandatory_fault_cases,2,PASS
training_visible_programs,6,PASS
conditional_branch_resolutions,19,PASS
predicted_taken,13,PASS
predicted_not_taken,6,PASS
correct_predictions,12,PASS
direction_mispredicts,7,PASS
recovery_redirects,9,PASS
architectural_commits,223,PASS
continuous_committed_conditional_branches,64,PASS
continuous_bim_updates,64,PASS
continuous_update_difference,0,PASS
