pf5_scenario,source_program,native,csim,full_core_rtl,commits,updates,counter_transition
pf5_pred_nt_actual_nt,tb/programs/pf5_product/pf5_pred_nt_actual_nt.S,PASS,PASS,PASS,1,1,01_to_00
pf5_pred_nt_actual_t,tb/programs/pf5_product/pf5_pred_nt_actual_t.S,PASS,PASS,PASS,1,1,01_to_10
pf5_pred_t_actual_t,tb/programs/pf5_product/pf5_pred_t_actual_t.S,PASS,PASS,PASS,1,1,11_to_11_saturated
pf5_pred_t_actual_nt,tb/programs/pf5_product/pf5_pred_t_actual_nt.S,PASS,PASS,PASS,1,1,10_to_01
pf5_rvc_commit,tb/programs/pf5_product/pf5_rvc_commit.S,PASS,PASS,PASS,1,1,01_to_10
pf5_same_packet_kill,tb/programs/pf5_product/pf5_same_packet_kill.S,PASS,PASS,PASS,1,1,01_to_10
pf5_fault_no_training,tb/programs/pf5_product/pf5_fault_no_training.S,PASS,PASS,PASS,0,0,invalid_unchanged
pf5_ftq_wrap_training,tb/programs/pf5_product/pf5_ftq_wrap_training.S,PASS,PASS,PASS,1,1,01_to_10
pf5_jal_no_training,tb/programs/pf5_product/pf5_jal_no_training.S,PASS,PASS,PASS,0,0,invalid_unchanged
pf5_jalr_no_training,tb/programs/pf5_product/pf5_jalr_no_training.S,PASS,PASS,PASS,0,0,invalid_unchanged
pf5_exception_no_training,tb/programs/pf5_product/pf5_exception_no_training.S,PASS,PASS,PASS,0,0,invalid_unchanged
pf5_mixed_long_training,tb/programs/pf5_product/pf5_mixed_long_training.S,PASS,PASS,PASS,12,12,01_to_10
