gate,suite,status
PF4,directed_random_long_focused_rtl,PASS_CURRENT
PF3,directed_random_long_native_csim,PASS_CURRENT
PF3,full_core_rtl,PASS_CURRENT
PF2,directed_random_csim_focused_rtl,PASS_CURRENT
PF2,full_core_rtl_11,PASS_CURRENT
PF1,native_csim_focused_and_full_core_rtl,PASS_CURRENT
W3,software_400,PASS_CURRENT
W3,focused_rtl_11,PASS_CURRENT
W4,multi_writeback_13,PASS_CURRENT
M3C,directed_1458,PASS_CURRENT
M3C,random_256x2048,PASS_CURRENT
M3C,native_programs_15,PASS_CURRENT
R2,native_11,PASS_CURRENT
R2,csim_11,PASS_CURRENT
R2,full_core_rtl_11,PASS_CURRENT
B3I,packet_aware_random_256x4096,PASS_CURRENT
B3I,native_programs_6,PASS_CURRENT
B3I,source_hash_keyed_full_core_rtl_6,PASS_CURRENT
