gate,suite,result
PF4,directed_12949,PASS_CURRENT
PF4,random_256x8192_long_1000000,PASS_CURRENT
PF4,focused_rtl_140,PASS_CURRENT
PF3,directed_481322,PASS_CURRENT
PF3,random_256x8192_long_1000000,PASS_CURRENT
PF3,product_native_csim_12,PASS_CURRENT
PF3,product_full_core_rtl_12,PASS_CURRENT
PF2,directed_2239,PASS_CURRENT
PF2,random_256x8192,PASS_CURRENT
PF2,csim_2239,PASS_CURRENT
PF2,focused_rtl_116,PASS_CURRENT
PF2,full_core_rtl_11,PASS_CURRENT
PF1,native_programs_8,PASS_CURRENT
PF1,csim_programs_8,PASS_CURRENT
PF1,focused_rtl_64,PASS_CURRENT
PF1,full_core_rtl_8,PASS_CURRENT
W3,software_400,PASS_CURRENT
W3,focused_rtl_11,PASS_CURRENT
W4,multi_writeback_13,PASS_CURRENT
M3C,directed_1458_random_256x2048_programs_15,PASS_CURRENT
R2,native_csim_full_core_rtl_11,PASS_CURRENT
B3I,packet_aware_random_256x4096_native_and_rtl_6,PASS_CURRENT
