suite,status,evidence
PF1_directed,PASS,1817 checks
PF1_random,PASS,256x8192
PF1_programs,PASS,8/8
PF3_native,PASS,481322 checks
PF4_native,PASS,12949 checks
PF5_native,PASS,6205 checks
W3_software,PASS,15 suites including random and CSim
W4_focused,PASS,13/13 current-source tests
M3C_native,PASS,directed random and 15/15 programs
RVC_current_native,PASS,11/11 current-compatible programs
RVC_current_csim,PASS,11/11 current-compatible programs
RVC_current_rtl,PASS,11/11 current-source full-core RTL programs
