case_id,case_name,path,image,top,status,source_hash,rtl_hash,evidence
0,queues_empty,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_0_queues_empty.log
1,lq_single_count,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_1_lq_single_count.log
2,sq_single_count,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_2_sq_single_count.log
3,lq_full_reject,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_3_lq_full_reject.log
4,sq_full_reject,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_4_sq_full_reject.log
5,lq_wrap_boundary,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_5_lq_wrap_boundary.log
6,sq_wrap_boundary,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_6_sq_wrap_boundary.log
7,lq_reuse_generation,PATH_A,queue_lifecycle,g6_l1r80_queue_lifecycle,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,63c8d62c566e93920e707d7ab4e89669843327586a0ad719ff85a4cb0a323dcd,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_7_lq_reuse_generation.log
8,sq_reuse_generation,PATH_A,queue_lifecycle,g6_l1r80_queue_lifecycle,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,63c8d62c566e93920e707d7ab4e89669843327586a0ad719ff85a4cb0a323dcd,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_8_sq_reuse_generation.log
9,lq_generation_fffe,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_9_lq_generation_fffe.log
10,sq_generation_fffe,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_10_sq_generation_fffe.log
11,lq_generation_ffff,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_11_lq_generation_ffff.log
12,sq_generation_ffff,PATH_A,queue_allocate,g6_l1r80_queue_allocate,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,630db07306c9edd8c8257d4ea877595435002b7018bf8afc231ba895640d869e,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_12_sq_generation_ffff.log
13,stale_lq_issue,PATH_B,full_core_bounded_retry,boom_core_top,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,c0165ccea43ccc41d1d2cc5514d8af17764b700b84a84af751c4b331be55fcbe,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_13_stale_lq_issue_path_b.log
14,stale_sq_match,PATH_A,queue_lifecycle,g6_l1r80_queue_lifecycle,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,63c8d62c566e93920e707d7ab4e89669843327586a0ad719ff85a4cb0a323dcd,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_14_stale_sq_match.log
15,stale_sq_reclaim,PATH_A,queue_lifecycle,g6_l1r80_queue_lifecycle,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,63c8d62c566e93920e707d7ab4e89669843327586a0ad719ff85a4cb0a323dcd,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_15_stale_sq_reclaim.log
16,correct_load_response,PATH_A,load_response,g6_l1r80_load_response,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,9b3f881a40a5a237f4a59ee0c4bafd2af674089dd794d6f7b58b1a28c9912dfc,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_16_correct_load_response.log
17,response_wrong_tx,PATH_A,load_response,g6_l1r80_load_response,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,9b3f881a40a5a237f4a59ee0c4bafd2af674089dd794d6f7b58b1a28c9912dfc,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_17_response_wrong_tx.log
18,response_wrong_rob,PATH_A,load_response,g6_l1r80_load_response,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,9b3f881a40a5a237f4a59ee0c4bafd2af674089dd794d6f7b58b1a28c9912dfc,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_18_response_wrong_rob.log
