case_id,case_name,wrapper_family,path,pilot_coverage,planned_image,existing_17_mapping
0,queues_empty,A_QUEUE,PATH_A,NOT_RUN,queue_empty,UNMAPPED_ACCEPTED_AGGREGATE
1,lq_single_count,A_QUEUE,PATH_A,NOT_RUN,lq_allocate,UNMAPPED_ACCEPTED_AGGREGATE
2,sq_single_count,A_QUEUE,PATH_A,NOT_RUN,sq_allocate,UNMAPPED_ACCEPTED_AGGREGATE
3,lq_full_reject,A_QUEUE,PATH_A,NOT_RUN,lq_capacity,UNMAPPED_ACCEPTED_AGGREGATE
4,sq_full_reject,A_QUEUE,PATH_A,NOT_RUN,sq_capacity,UNMAPPED_ACCEPTED_AGGREGATE
5,lq_wrap_boundary,A_QUEUE,PATH_A,NOT_RUN,lq_wrap,UNMAPPED_ACCEPTED_AGGREGATE
6,sq_wrap_boundary,A_QUEUE,PATH_A,NOT_RUN,sq_wrap,UNMAPPED_ACCEPTED_AGGREGATE
7,lq_reuse_generation,A_QUEUE,PATH_A,PASS_P2,lq_reuse,UNMAPPED_ACCEPTED_AGGREGATE
8,sq_reuse_generation,C_SQ_IDENTITY,PATH_A,NOT_RUN,sq_reuse,UNMAPPED_ACCEPTED_AGGREGATE
9,lq_generation_fffe,A_QUEUE,PATH_A,NOT_RUN,lq_generation,UNMAPPED_ACCEPTED_AGGREGATE
10,sq_generation_fffe,C_SQ_IDENTITY,PATH_A,NOT_RUN,sq_generation,UNMAPPED_ACCEPTED_AGGREGATE
11,lq_generation_ffff,A_QUEUE,PATH_A,NOT_RUN,lq_generation,UNMAPPED_ACCEPTED_AGGREGATE
12,sq_generation_ffff,C_SQ_IDENTITY,PATH_A,NOT_RUN,sq_generation,UNMAPPED_ACCEPTED_AGGREGATE
13,stale_lq_issue,B_RESPONSE_IDENTITY,PATH_B,NOT_RUN,canonical_issue_owner,UNMAPPED_ACCEPTED_AGGREGATE
14,stale_sq_match,C_SQ_IDENTITY,PATH_A,PASS_P6_REPRESENTATIVE,sq_identity,UNMAPPED_ACCEPTED_AGGREGATE
15,stale_sq_reclaim,C_SQ_IDENTITY,PATH_A,PASS_P6,sq_identity,UNMAPPED_ACCEPTED_AGGREGATE
16,correct_load_response,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,load_response,UNMAPPED_ACCEPTED_AGGREGATE
17,response_wrong_tx,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,load_response_identity,UNMAPPED_ACCEPTED_AGGREGATE
18,response_wrong_rob,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,load_response_identity,UNMAPPED_ACCEPTED_AGGREGATE
19,response_wrong_allocation,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,load_response_identity,UNMAPPED_ACCEPTED_AGGREGATE
20,response_wrong_generation,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,load_response_identity,UNMAPPED_ACCEPTED_AGGREGATE
21,response_wrong_owner_tx,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,load_response_identity,UNMAPPED_ACCEPTED_AGGREGATE
22,response_not_pending,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,load_response_identity,UNMAPPED_ACCEPTED_AGGREGATE
23,stale_response_reused_lq,B_RESPONSE_IDENTITY,PATH_A,PASS_P3,stale_response_reuse,UNMAPPED_ACCEPTED_AGGREGATE
24,stale_response_reused_rob,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,stale_response_rob,UNMAPPED_ACCEPTED_AGGREGATE
25,stale_response_no_prf,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,stale_response_prf,UNMAPPED_ACCEPTED_AGGREGATE
26,same_address_no_forwarding,D_BLOCKING,PATH_A_INTERNAL,NOT_RUN,older_store_predicate,UNMAPPED_ACCEPTED_AGGREGATE
27,different_address_older_store,D_BLOCKING,PATH_A_INTERNAL,PASS_P5,older_store_predicate,UNMAPPED_ACCEPTED_AGGREGATE
28,load_request_backpressure,D_BACKPRESSURE,PATH_B,NOT_RUN,canonical_dmem_backpressure,UNMAPPED_ACCEPTED_AGGREGATE
29,committed_store_backpressure,D_BACKPRESSURE,PATH_B,NOT_RUN,canonical_commit_backpressure,UNMAPPED_ACCEPTED_AGGREGATE
30,branch_clear_lq,E_BRANCH,PATH_A,NOT_RUN,branch_clear,UNMAPPED_ACCEPTED_AGGREGATE
31,branch_clear_sq,E_BRANCH,PATH_A,NOT_RUN,branch_clear,UNMAPPED_ACCEPTED_AGGREGATE
32,branch_squash_lq,E_BRANCH,PATH_A,PASS_P4_REPRESENTATIVE,branch_squash,UNMAPPED_ACCEPTED_AGGREGATE
33,branch_squash_sq,E_BRANCH,PATH_A,NOT_RUN,branch_squash,UNMAPPED_ACCEPTED_AGGREGATE
34,branch_pending_kill,E_BRANCH,PATH_A,PASS_P4,branch_squash,UNMAPPED_ACCEPTED_AGGREGATE
35,branch_late_response,E_BRANCH,PATH_A,NOT_RUN,branch_late_response,UNMAPPED_ACCEPTED_AGGREGATE
36,exception_flush_queues_late,F_FLUSH_RESET,PATH_B,NOT_RUN,canonical_exception_flush,UNMAPPED_ACCEPTED_AGGREGATE
37,global_flush_both,F_FLUSH_RESET,PATH_A,PASS_P3_REPRESENTATIVE,global_flush,UNMAPPED_ACCEPTED_AGGREGATE
38,reset_empty,F_FLUSH_RESET,PATH_B,REUSED_PASS_P1,canonical_reset,UNMAPPED_ACCEPTED_AGGREGATE
39,reset_partial,F_FLUSH_RESET,PATH_B,REUSED_PASS_P1,canonical_reset,UNMAPPED_ACCEPTED_AGGREGATE
40,reset_full,F_FLUSH_RESET,PATH_B,REUSED_PASS_P1,canonical_reset,UNMAPPED_ACCEPTED_AGGREGATE
41,lq_count_lifecycle,A_QUEUE,PATH_A,NOT_RUN,lq_lifecycle,UNMAPPED_ACCEPTED_AGGREGATE
42,sq_count_lifecycle,C_SQ_IDENTITY,PATH_A,PASS_P6_REPRESENTATIVE,sq_identity,UNMAPPED_ACCEPTED_AGGREGATE
43,lq_full_free_allocate,A_QUEUE,PATH_A,NOT_RUN,lq_capacity_reuse,UNMAPPED_ACCEPTED_AGGREGATE
44,sq_full_free_allocate,C_SQ_IDENTITY,PATH_A,NOT_RUN,sq_capacity_reuse,UNMAPPED_ACCEPTED_AGGREGATE
45,lq_owner_tuple,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,load_response_identity,UNMAPPED_ACCEPTED_AGGREGATE
46,sq_owner_tuple,C_SQ_IDENTITY,PATH_A,PASS_P6_REPRESENTATIVE,sq_identity,UNMAPPED_ACCEPTED_AGGREGATE
47,rob_reuse_stale_issue,B_RESPONSE_IDENTITY,PATH_B,NOT_RUN,canonical_issue_owner,UNMAPPED_ACCEPTED_AGGREGATE
48,simultaneous_commit_lsu,D_BACKPRESSURE,PATH_B,NOT_RUN,canonical_commit_issue,UNMAPPED_ACCEPTED_AGGREGATE
49,reset_pending_lifecycle,F_FLUSH_RESET,PATH_B,REUSED_PASS_P1_REPRESENTATIVE,canonical_reset_pending,UNMAPPED_ACCEPTED_AGGREGATE
50,variant_slot2_gen0_mask01,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_load_response,UNMAPPED_ACCEPTED_AGGREGATE
51,variant_slot3_gen1_mask02,C_SQ_IDENTITY,PATH_A,NOT_RUN,variant_store_reclaim,UNMAPPED_ACCEPTED_AGGREGATE
52,variant_slot4_gen7fff_mask04,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_stale_response,UNMAPPED_ACCEPTED_AGGREGATE
53,variant_slot5_genfffd_mask08,F_FLUSH_RESET,PATH_A,NOT_RUN,variant_global_flush,UNMAPPED_ACCEPTED_AGGREGATE
54,variant_slot6_genfffe_mask10,E_BRANCH,PATH_A,NOT_RUN,variant_branch_squash,UNMAPPED_ACCEPTED_AGGREGATE
55,variant_slot7_genffff_mask20,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_load_response,UNMAPPED_ACCEPTED_AGGREGATE
56,variant_slot0_gen0_mask40,C_SQ_IDENTITY,PATH_A,NOT_RUN,variant_store_reclaim,UNMAPPED_ACCEPTED_AGGREGATE
57,variant_slot1_gen1_mask80,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_stale_response,UNMAPPED_ACCEPTED_AGGREGATE
58,variant_slot2_gen7fff_mask3f,F_FLUSH_RESET,PATH_A,NOT_RUN,variant_global_flush,UNMAPPED_ACCEPTED_AGGREGATE
59,variant_slot3_genfffd_mask1f,E_BRANCH,PATH_A,NOT_RUN,variant_branch_squash,UNMAPPED_ACCEPTED_AGGREGATE
60,variant_slot4_genfffe_mask0f,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_load_response,UNMAPPED_ACCEPTED_AGGREGATE
61,variant_slot5_genffff_mask07,C_SQ_IDENTITY,PATH_A,NOT_RUN,variant_store_reclaim,UNMAPPED_ACCEPTED_AGGREGATE
62,variant_slot6_gen0_mask03,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_stale_response,UNMAPPED_ACCEPTED_AGGREGATE
63,variant_slot7_gen1_mask01,F_FLUSH_RESET,PATH_A,NOT_RUN,variant_global_flush,UNMAPPED_ACCEPTED_AGGREGATE
64,variant_slot0_gen7fff_mask00,E_BRANCH,PATH_A,NOT_RUN,variant_branch_squash,UNMAPPED_ACCEPTED_AGGREGATE
65,variant_slot1_genfffd_mask00,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_load_response,UNMAPPED_ACCEPTED_AGGREGATE
66,variant_slot2_genfffe_maskb5,C_SQ_IDENTITY,PATH_A,NOT_RUN,variant_store_reclaim,UNMAPPED_ACCEPTED_AGGREGATE
67,variant_slot3_genffff_maskb4,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_stale_response,UNMAPPED_ACCEPTED_AGGREGATE
68,variant_slot4_gen0_maskb7,F_FLUSH_RESET,PATH_A,NOT_RUN,variant_global_flush,UNMAPPED_ACCEPTED_AGGREGATE
69,variant_slot5_gen1_maskb6,E_BRANCH,PATH_A,NOT_RUN,variant_branch_squash,UNMAPPED_ACCEPTED_AGGREGATE
70,variant_slot6_gen7fff_maskb1,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_load_response,UNMAPPED_ACCEPTED_AGGREGATE
71,variant_slot7_genfffd_maskb0,C_SQ_IDENTITY,PATH_A,NOT_RUN,variant_store_reclaim,UNMAPPED_ACCEPTED_AGGREGATE
72,variant_slot0_genfffe_maskb3,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_stale_response,UNMAPPED_ACCEPTED_AGGREGATE
73,variant_slot1_genffff_maskb2,F_FLUSH_RESET,PATH_A,NOT_RUN,variant_global_flush,UNMAPPED_ACCEPTED_AGGREGATE
74,variant_slot2_gen0_maskbd,E_BRANCH,PATH_A,NOT_RUN,variant_branch_squash,UNMAPPED_ACCEPTED_AGGREGATE
75,variant_slot3_gen1_maskbc,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_load_response,UNMAPPED_ACCEPTED_AGGREGATE
76,variant_slot4_gen7fff_maskbf,C_SQ_IDENTITY,PATH_A,NOT_RUN,variant_store_reclaim,UNMAPPED_ACCEPTED_AGGREGATE
77,variant_slot5_genfffd_maskbe,B_RESPONSE_IDENTITY,PATH_A,NOT_RUN,variant_stale_response,UNMAPPED_ACCEPTED_AGGREGATE
78,variant_slot6_genfffe_maskb9,F_FLUSH_RESET,PATH_A,NOT_RUN,variant_global_flush,UNMAPPED_ACCEPTED_AGGREGATE
79,variant_slot7_genffff_maskb8,E_BRANCH,PATH_A,NOT_RUN,variant_branch_squash,UNMAPPED_ACCEPTED_AGGREGATE
